attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Trading Session Status Code,"Trạng thái phiên giao dịch: 1=Đang nhận lệnh / 2=Tạm dừng / 13=Kết thúc nhận lệnh / 90=Chờ nhận lệnh / 97=Đóng cửa.",Classification Value,true,false,draft,MDDS.CorpBondInfor.tradSesStatus,"Scheme: MDDS_TRAD_SES_STATUS. Nguồn string — khớp tự nhiên với Classification Value. Giữ nguyên giá trị số làm code.",MDDS_TRAD_SES_STATUS,
Ceiling Price,Giá trần giao dịch khớp lệnh.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.ceiling,Nguồn string — ETL cần parse sang decimal. Giá TPDN theo % mệnh giá — cần validate không có giá trị non-numeric.,,
Floor Price,Giá sàn giao dịch khớp lệnh.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.floor,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Reference Price,Giá tham chiếu.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.reference,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Close Price,Giá đóng cửa (giá khớp gần nhất).,Currency Amount,true,false,draft,MDDS.CorpBondInfor.closePrice,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Close Volume,Khối lượng khớp tại lần khớp gần nhất.,Small Counter,true,false,draft,MDDS.CorpBondInfor.closeVol,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
Price Change Value,Thay đổi của giá khớp gần nhất so với giá tham chiếu.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.change,Nguồn string — ETL cần parse sang decimal. Có thể mang giá trị âm.,,
Open Price,Giá mở cửa.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.open,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
High Price,Giá thực hiện cao nhất của giao dịch khớp lệnh trong ngày.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.high,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Low Price,Giá thực hiện thấp nhất của giao dịch khớp lệnh trong ngày.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.low,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Average Price,Giá trung bình trong ngày (totalTradingValue / totalTrading).,Currency Amount,true,false,draft,MDDS.CorpBondInfor.averagePrice,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Total Match Volume,Tổng khối lượng giao dịch tích lũy.,Small Counter,true,false,draft,MDDS.CorpBondInfor.totalTrading,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
Total Match Value,Tổng giá trị giao dịch tích lũy.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.totalTradingValue,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
PT Match Volume,Khối lượng thực hiện gần nhất của giao dịch thỏa thuận Outright.,Small Counter,true,false,draft,MDDS.CorpBondInfor.PT_MATCH_QTTY,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
PT Match Price,Giá thực hiện gần nhất của giao dịch thỏa thuận Outright.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.PT_MATCH_PRICE,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
PT Total Match Volume,Tổng khối lượng giao dịch thỏa thuận Outright tích lũy.,Small Counter,true,false,draft,MDDS.CorpBondInfor.PT_TOTAL_TRADED_QTTY,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
PT Total Match Value,Tổng giá trị giao dịch thỏa thuận Outright tích lũy.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.PT_TOTAL_TRADED_VALUE,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
PT Best Bid Volume,Tổng khối lượng chào mua cao nhất trên order book thỏa thuận Outright.,Small Counter,true,false,draft,MDDS.CorpBondInfor.PT_BestBidQtty,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
PT Best Bid Price,Giá chào mua cao nhất trên order book thỏa thuận Outright.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.PT_BestBidPrice,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
PT Best Offer Volume,Tổng khối lượng chào bán thấp nhất trên order book thỏa thuận Outright.,Small Counter,true,false,draft,MDDS.CorpBondInfor.PT_BestOfferQtty,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
PT Best Offer Price,Giá chào bán thấp nhất trên order book thỏa thuận Outright.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.PT_BestOfferPrice,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
PT Total Bid Volume,Tổng khối lượng chào mua toàn bộ order book thỏa thuận Outright.,Small Counter,true,false,draft,MDDS.CorpBondInfor.PT_TotalBidQtty,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
PT Total Offer Volume,Tổng khối lượng chào bán toàn bộ order book thỏa thuận Outright.,Small Counter,true,false,draft,MDDS.CorpBondInfor.PT_TotalOfferQtty,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
PT Max Volume,Tổng khối lượng thực hiện tương ứng với giá cao nhất — giao dịch thỏa thuận Outright.,Small Counter,true,false,draft,MDDS.CorpBondInfor.PT_MaxQtty,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
PT Max Price,Giá thực hiện cao nhất — giao dịch thỏa thuận Outright.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.PT_MaxPrice,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
PT Min Volume,Tổng khối lượng thực hiện tương ứng với giá thấp nhất — giao dịch thỏa thuận Outright.,Small Counter,true,false,draft,MDDS.CorpBondInfor.PT_MinQtty,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
PT Min Price,Giá thực hiện thấp nhất — giao dịch thỏa thuận Outright.,Currency Amount,true,false,draft,MDDS.CorpBondInfor.PT_MinPrice,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Foreign Remaining Room,Số lượng còn lại nhà đầu tư nước ngoài được phép mua.,Small Counter,true,false,draft,MDDS.CorpBondInfor.foreignRemain,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
Issuer Name,Mã tổ chức phát hành trái phiếu.,Text,true,false,draft,MDDS.CorpBondInfor.IssuerName,"Nguồn string — tên cột là IssuerName nhưng thực chất chứa mã tổ chức. Khớp tự nhiên với Text. FK cross-source đến Public Company/IDS sẽ thiết kế sau khi xác nhận mapping.",,
Maturity Date,Ngày đáo hạn trái phiếu.,Date,true,false,draft,MDDS.CorpBondInfor.MaturityDate,Nguồn string — ETL cần parse sang Date. Cần validate format ngày hợp lệ.,,
Issue Date,Ngày phát hành trái phiếu.,Date,true,false,draft,MDDS.CorpBondInfor.IssueDate,Nguồn string — ETL cần parse sang Date. Cần validate format ngày hợp lệ.,,
Total Listing Volume,Tổng khối lượng trái phiếu niêm yết.,Small Counter,true,false,draft,MDDS.CorpBondInfor.TotalListingQtty,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric và không vượt quá INT_MAX.,,
Par Value,Mệnh giá trái phiếu (thường 100.000 VND/trái phiếu).,Currency Amount,true,false,draft,MDDS.CorpBondInfor.parValue,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Bond Period,Kỳ hạn gốc của trái phiếu.,Small Counter,true,false,draft,MDDS.CorpBondInfor.BOND_PERIOD,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric.,,
Period Unit Code,"Đơn vị kỳ hạn: 1=Ngày / 2=Tuần / 3=Tháng / 4=Năm.",Classification Value,true,false,draft,MDDS.CorpBondInfor.PERIOD_UNIT,"Scheme: MDDS_PERIOD_UNIT. Nguồn string — khớp tự nhiên với Classification Value. Giữ nguyên giá trị số (1 / 2 / 3 / 4) làm code.",MDDS_PERIOD_UNIT,
Period Remaining,Kỳ hạn còn lại tính bằng ngày (tính toán lại hàng ngày).,Small Counter,true,false,draft,MDDS.CorpBondInfor.PERIOD_REMAIN,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric.,,
Bond Interest Type Code,"Loại hình lãi suất: 1=Coupon / 2=Zero Coupon.",Classification Value,true,false,draft,MDDS.CorpBondInfor.INTEREST_TYPE,"Scheme: MDDS_BOND_INTEREST_TYPE. Nguồn string — khớp tự nhiên với Classification Value. Giữ nguyên giá trị số làm code.",MDDS_BOND_INTEREST_TYPE,
Interest Rate,Lãi suất danh nghĩa (coupon rate).,Interest Rate,true,false,draft,MDDS.CorpBondInfor.INTEREST_RATE,Nguồn string — ETL cần parse sang decimal. Cần validate không có giá trị non-numeric.,,
Debt Interest Type Code,"Loại lãi suất: 1=Cố định / 2=Thả nổi.",Classification Value,true,false,draft,MDDS.CorpBondInfor.INTERESTRATE_TYPE,"BCV Term: Debt Interest Type (id=12002) — distinguishes Debt Instrument by how interest rate is applied (fixed/floating). Scheme: MDDS_INTEREST_RATE_TYPE. Nguồn string — khớp tự nhiên với Classification Value. Giữ nguyên giá trị số làm code.",MDDS_INTEREST_RATE_TYPE,
Interest Period,Kỳ hạn trả lãi.,Small Counter,true,false,draft,MDDS.CorpBondInfor.INTEREST_PERIOD,Nguồn string — ETL cần parse sang int. Cần validate không có giá trị non-numeric. (Nguồn lưu dạng string dù mang ý nghĩa số nguyên — domain Small Counter là đúng theo ngữ nghĩa.),,
Interest Period Unit Code,"Đơn vị kỳ hạn trả lãi: 1=Ngày / 2=Tuần / 3=Tháng / 4=Năm.",Classification Value,true,false,draft,MDDS.CorpBondInfor.INTEREST_PERIOD_UNIT,"Scheme: MDDS_PERIOD_UNIT. Dùng chung scheme với Period Unit Code. Nguồn string — khớp tự nhiên với Classification Value.",MDDS_PERIOD_UNIT,
Interest Coupon Type Code,"Kiểu coupon: 1=Standard / 2=Long Coupon / 3=Short Coupon / 4=Khác.",Classification Value,true,false,draft,MDDS.CorpBondInfor.INTEREST_COUPON_TYPE,"Scheme: MDDS_COUPON_TYPE. Nguồn string — khớp tự nhiên với Classification Value.",MDDS_COUPON_TYPE,
Interest Payment Type Code,"Phương thức trả lãi: 1=Định kỳ cuối kỳ / 2=Định kỳ đầu kỳ.",Classification Value,true,false,draft,MDDS.CorpBondInfor.INTEREST_PAYMENT_TYPE,"Scheme: MDDS_INTEREST_PAYMENT_TYPE. Nguồn string — khớp tự nhiên với Classification Value.",MDDS_INTEREST_PAYMENT_TYPE,
Characteristics,Đặc điểm của trái phiếu.,Text,true,false,draft,MDDS.CorpBondInfor.characteristics,Nguồn string — khớp tự nhiên với Text.,,
