attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment,classification_context,etl_derived_value
Custodian Bank Code,Mã ngân hàng lưu ký gửi báo cáo.,Text,true,false,draft,FIMS.RPTVALUES.BankId,Lookup pair: Custodian Bank.Custodian Bank Code. Pair with Custodian Bank Id.,,
Depository Center Id,FK đến trung tâm lưu ký gửi báo cáo.,Surrogate Key,true,false,draft,FIMS.RPTVALUES.DepId,FK target: Depository Center.Depository Center Id.,,
Depository Center Code,Mã trung tâm lưu ký gửi báo cáo.,Text,true,false,draft,FIMS.RPTVALUES.DepId,Lookup pair: Depository Center.Depository Center Code. Pair with Depository Center Id.,,
Stock Exchange Id,FK đến sở giao dịch chứng khoán gửi báo cáo.,Surrogate Key,true,false,draft,FIMS.RPTVALUES.StockId,FK target: Stock Exchange.Stock Exchange Id.,,
Stock Exchange Code,Mã sở giao dịch chứng khoán gửi báo cáo.,Text,true,false,draft,FIMS.RPTVALUES.StockId,Lookup pair: Stock Exchange.Stock Exchange Code. Pair with Stock Exchange Id.,,
Disclosure Representative Id,FK đến người đại diện CBTT gửi báo cáo.,Surrogate Key,true,false,draft,FIMS.RPTVALUES.InId,FK target: Disclosure Representative.Disclosure Representative Id.,,
Disclosure Representative Code,Mã người đại diện CBTT gửi báo cáo.,Text,true,false,draft,FIMS.RPTVALUES.InId,Lookup pair: Disclosure Representative.Disclosure Representative Code. Pair with Disclosure Representative Id.,,
Fund Management Company Organization Unit Id,FK đến chi nhánh công ty QLQ NN tại VN gửi báo cáo.,Surrogate Key,true,false,draft,FIMS.RPTVALUES.BranId,FK target: Fund Management Company Organization Unit.Fund Management Company Organization Unit Id.,,
Fund Management Company Organization Unit Code,Mã chi nhánh công ty QLQ NN tại VN gửi báo cáo.,Text,true,false,draft,FIMS.RPTVALUES.BranId,Lookup pair: Fund Management Company Organization Unit.Fund Management Company Organization Unit Code. Pair with Fund Management Company Organization Unit Id.,,
Member Object Type Code,Loại đối tượng gửi báo cáo: 1: Công ty QLQ 2: CTCK 3: NHLK 4: TTLK 5: SGDCK 6: Người đại diện CBTT 7: CN CTQLQ NN tại VN.,Classification Value,true,false,draft,FIMS.RPTVALUES.Type,Scheme: FIMS_MEMBER_TYPE. Lưu lại tại thời điểm ghi giá trị — denormalized từ RPTMEMBER.,,
Reporting Period Type Code,Kỳ báo cáo: 1: Ngày 2: Tuần 3: Nửa tháng 4: Tháng 5: Quý 6: Bán niên 7: Năm.,Classification Value,true,false,draft,FIMS.RPTVALUES.PeriodType,Scheme: FIMS_PERIOD_TYPE. Denormalized từ RPTMEMBER.,,
Period Value,Giá trị kỳ báo cáo.,Small Counter,true,false,draft,FIMS.RPTVALUES.PeriodValue,,,
Report Year,Năm báo cáo.,Small Counter,true,false,draft,FIMS.RPTVALUES.YearValue,,,
Cell Value,Giá trị ô chỉ tiêu báo cáo.,Text,true,false,draft,FIMS.RPTVALUES.Values,Lưu dạng text — kiểu thực tế xác định qua Cell Data Type Code.,,
Cell Data Type Code,Định dạng dữ liệu ô: kiểu số hoặc kiểu ký tự.,Classification Value,true,false,draft,FIMS.RPTVALUES.FormatDataType,Scheme: FIMS_CELL_DATA_TYPE.,,
Is Dynamic Row Indicator,Là dòng động: 0: Không 1: Có.,Indicator,true,false,draft,FIMS.RPTVALUES.IsDynamic,,,
Dynamic Row Index,Chỉ số dòng động.,Small Counter,true,false,draft,FIMS.RPTVALUES.RowDynamic,,,
Source Table Name,Tên bảng RPTVALUES nguồn (mỗi năm sinh 1 bảng riêng).,Text,true,false,draft,FIMS.RPTVALUES.TableName,Bảng được sinh tự động theo năm — lưu lại để truy vết nguồn.,,
Field Name,Tên file đính kèm (nếu có).,Text,true,false,draft,FIMS.RPTVALUES.FieldName,,,
Selection Data,Dữ liệu dạng ô cho phép chọn.,Text,true,false,draft,FIMS.RPTVALUES.Identification,,,
Created By,Người tạo bản ghi.,Text,true,false,draft,FIMS.RPTVALUES.CreatedBy,Mã người dùng hệ thống — denormalized.,,
Created Timestamp,Ngày tạo bản ghi.,Timestamp,true,false,draft,FIMS.RPTVALUES.DateCreated,,,
Updated Timestamp,Ngày cập nhật bản ghi.,Timestamp,true,false,draft,FIMS.RPTVALUES.DateModified,,,
