source_system,source_table,source_column,description,reason,action
QLRR,risk_indicator,indicator_name,"Tên chỉ tiêu hệ thống","Đã map vào Risk Indicator.Indicator Name qua source_columns comma-separated (merge entity). Script không nhận format multi-source.",Đã thiết kế — entity merge risk_indicator + risk_indicator_custom
QLRR,risk_indicator,unit_code,Đơn vị mặc định chỉ tiêu hệ thống,Đã map vào Risk Indicator.Unit Code qua source_columns comma-separated.,Đã thiết kế — entity merge
QLRR,risk_indicator,source_code,Nguồn dữ liệu chỉ tiêu hệ thống,Đã map vào Risk Indicator.Data Source Code qua source_columns comma-separated.,Đã thiết kế — entity merge
QLRR,risk_indicator,period_type,Tần suất chỉ tiêu hệ thống,Đã map vào Risk Indicator.Period Type Code qua source_columns comma-separated.,Đã thiết kế — entity merge
QLRR,risk_indicator,status,Trạng thái chỉ tiêu hệ thống,Đã map vào Risk Indicator.Active Flag qua source_columns comma-separated.,Đã thiết kế — entity merge
QLRR,risk_indicator_custom,id,PK kỹ thuật bảng nguồn,BK Silver (Risk Indicator Code) = 'CUS_' + id cho chỉ tiêu tự tạo. id đơn lẻ không map riêng.,Đã capture qua Risk Indicator Code (BK)
QLRR,risk_indicator_custom,indicator_name,Tên chỉ tiêu tự tạo,Đã map vào Risk Indicator.Indicator Name qua source_columns comma-separated (merge entity).,Đã thiết kế — entity merge
QLRR,risk_indicator_custom,unit_code,Đơn vị mặc định chỉ tiêu tự tạo,Đã map vào Risk Indicator.Unit Code qua source_columns comma-separated.,Đã thiết kế — entity merge
QLRR,risk_indicator_custom,source_code,Nguồn dữ liệu chỉ tiêu tự tạo,Đã map vào Risk Indicator.Data Source Code qua source_columns comma-separated.,Đã thiết kế — entity merge
QLRR,risk_indicator_custom,period_type,Tần suất chỉ tiêu tự tạo,Đã map vào Risk Indicator.Period Type Code qua source_columns comma-separated.,Đã thiết kế — entity merge
QLRR,risk_indicator_custom,status,Trạng thái chỉ tiêu tự tạo,Đã map vào Risk Indicator.Active Flag qua source_columns comma-separated.,Đã thiết kế — entity merge
QLRR,risk_report_type,id,PK kỹ thuật bảng nguồn,BK dùng risk_report_type.code thay id — id không map vào Silver.,Out-of-scope
QLRR,risk_report_type,template_content,Nội dung template HTML/text của loại báo cáo,Out-of-scope — config kỹ thuật không lưu trên Silver. Chốt T1-01.,Không thiết kế
IDS,company_detail,id,PK kỹ thuật của bảng company_detail,"BK Public Company dùng company_profiles.id (= company_detail.company_profile_id). company_detail.id là PK kỹ thuật riêng của bảng detail, không phải BK của entity.",Out-of-scope
IDS,company_detail,company_name_vn,Tên công ty (tiếng Việt) - duplicate,"Giá trị 1-1 với company_profiles.company_name_vn. Map primary từ company_profiles.",Đã capture qua company_profiles (1-1)
IDS,company_detail,company_name_en,Tên công ty (tiếng Anh) - duplicate,"Giá trị 1-1 với company_profiles.company_name_en. Map primary từ company_profiles.",Đã capture qua company_profiles (1-1)
IDS,company_detail,business_reg_no,Mã số doanh nghiệp - duplicate,"Giá trị 1-1 với company_profiles.business_reg_no. Map primary từ company_profiles.",Đã capture qua company_profiles (1-1)
IDS,company_detail,equity_ticker,Mã cổ phiếu - duplicate,"Giá trị 1-1 với company_profiles.equity_ticker. Map primary từ company_profiles.",Đã capture qua company_profiles (1-1)
IDS,company_detail,report_type_cd,Loại hình doanh nghiệp - duplicate,"Giá trị 1-1 với company_profiles.report_type_cd. Map primary từ company_profiles.",Đã capture qua company_profiles (1-1)
IDS,company_detail,last_updated_by,Người sửa - audit duplicate,"Audit field 1-1 với company_profiles. Map primary từ company_profiles.",Đã capture qua company_profiles (1-1)
IDS,company_detail,last_updated_date,Ngày sửa - audit duplicate,"Audit field 1-1 với company_profiles. Map primary từ company_profiles.",Đã capture qua company_profiles (1-1)
IDS,af_auditor_approval,rec_changed_flg,Cờ đánh dấu bản ghi bị thay đổi,"Cờ kỹ thuật ETL — SCD2 Silver tự track lịch sử. Chốt HLD T2-04.",Không thiết kế
IDS,af_legal_representative,identity_no,Số CMND/CCCD/Hộ chiếu của người đại diện pháp luật kiểm toán,"Nguồn không phân biệt loại giấy tờ. LLD tạm dùng scheme IP_ALT_ID_TYPE=NATIONAL_ID làm default. HLD T2-05 pending: cần profile data nguồn hoặc hỏi thêm để xác định loại giấy tờ thực tế.","Đã thiết kế tạm — cần profile data nguồn và cập nhật loại giấy tờ nếu khác NATIONAL_ID"
IDS,legal_representative,identity_no,Số CMND/CCCD/Hộ chiếu của người đại diện pháp luật/CBTT công ty đại chúng,"Nguồn mô tả ""Số cmnd/cccd/hộ chiếu"" trong 1 cột duy nhất — không có cột type phân biệt. LLD tạm dùng IP_ALT_ID_TYPE=NATIONAL_ID làm default. Cần profile data để xác định loại giấy tờ thực tế.","Đã thiết kế tạm — cần profile data"
IDS,identity,id,PK kỹ thuật bảng identity,"Shared entity IP Alt Identification không có PK surrogate riêng — chỉ FK về Stock Holder. identity.id là PK kỹ thuật nguồn không có ý nghĩa nghiệp vụ trên Silver.",Out-of-scope Silver theo shared entity schema
IDS,identity,primary_flg,Cờ đánh dấu giấy tờ chính,"Shared entity IP Alt Identification không có trường Primary Flag chuẩn. Thông tin này nếu cần có thể tính tại Gold (1 cổ đông có thể có nhiều giấy tờ, chỉ 1 là chính).","Out-of-scope Silver — xem xét tại Gold nếu cần"
IDS,identity,created_by,Người tạo giấy tờ,"Shared entity IP Alt Identification không có audit fields. Nếu cần thì bổ sung vào schema shared entity (ảnh hưởng các nguồn khác).","Out-of-scope Silver theo shared entity schema hiện tại"
IDS,identity,created_date,Ngày tạo giấy tờ,"Shared entity IP Alt Identification không có audit fields.","Out-of-scope Silver theo shared entity schema hiện tại"
IDS,identity,last_updated_by,Người sửa giấy tờ,"Shared entity IP Alt Identification không có audit fields.","Out-of-scope Silver theo shared entity schema hiện tại"
IDS,identity,last_updated_date,Ngày sửa giấy tờ,"Shared entity IP Alt Identification không có audit fields.","Out-of-scope Silver theo shared entity schema hiện tại"
