silver_entity,table_type,technical_table_type,filter,mapping_type,description,source_table
Complaint Petition,Fact Append,Fact Append,,regular,Đơn thư khiếu nại/tố cáo/phản ánh/kiến nghị nhận từ công dân hoặc tổ chức. Khởi đầu quy trình giải quyết đơn thư.,THANHTRA.DT_DON_THU
Complaint Processing Case,Fact Append,Fact Append,,regular,Hồ sơ giải quyết đơn thư khiếu nại/tố cáo. FK → Complaint Petition.,THANHTRA.DT_HO_SO
Complaint Processing Conclusion,Fact Append,Fact Append,,regular,Kết luận giải quyết đơn thư. FK → Complaint Processing Case.,THANHTRA.DT_KET_LUAN
Disclosure Report Submission,Fact Append,Fact Append,,regular,Bao cao cong bo thong tin do CTCK nop len UBCKNN theo yeu cau minh bach thi truong.,SCMS.CBTT_BAO_CAO
Disclosure Securities Offering,Fact Append,Fact Append,,regular,Thong tin chao ban chung khoan duoc cong bo boi CTCK. Ghi nhan loai chung khoan va dieu kien chao ban.,SCMS.CBTT_CHAO_BAN_CHUNG_KHOAN
Disclosure Shareholder Change,Fact Append,Fact Append,,regular,Thong tin thay doi co dong duoc cong bo boi CTCK. Ghi nhan co dong va ty le so huu thay doi.,SCMS.CBTT_CO_DONG
Fund Management Conduct Violation,Fact Append,Fact Append,,regular,Vi phạm pháp luật hoặc hành chính của công ty quản lý quỹ hoặc quỹ đầu tư. Ghi nhận loại vi phạm và trạng thái xử lý.,FMS.VIOLT
Inspection Annual Plan,Fact Append,Fact Append,,regular,Kế hoạch thanh tra kiểm tra cấp năm được phê duyệt. Khởi đầu quy trình thanh tra trong năm.,THANHTRA.TT_KE_HOACH
Inspection Annual Plan Subject,Fact Append,Fact Append,,regular,Đối tượng thanh tra được đưa vào kế hoạch năm. Grain: 1 đối tượng × 1 kế hoạch.,THANHTRA.TT_KE_HOACH_DOI_TUONG
Inspection Case,Fact Append,Fact Append,,regular,Hồ sơ thanh tra cụ thể — tập hợp tài liệu và kết quả 1 cuộc thanh tra. FK → Inspection Decision. Thông tin đối tượng denormalized (snapshot tại thời điểm thanh tra).,THANHTRA.TT_HO_SO
Inspection Case Conclusion,Fact Append,Fact Append,,regular,Kết luận thanh tra kèm thông tin xử lý vi phạm. FK → Inspection Case.,THANHTRA.TT_KET_LUAN
Inspection Case Officer Assignment,Fact Append,Fact Append,,regular,Phân công cán bộ phụ trách hồ sơ thanh tra. FK → Inspection Case + FK → Inspection Officer.,THANHTRA.TT_HO_SO_CAN_BO
Inspection Decision,Fact Append,Fact Append,,regular,Quyết định thanh tra/kiểm tra cụ thể. FK → Inspection Annual Plan (nullable — thanh tra đột xuất không có kế hoạch).,THANHTRA.TT_QUYET_DINH
Inspection Decision Subject,Fact Append,Fact Append,,regular,Đối tượng cụ thể được thanh tra theo một quyết định. FK → Inspection Decision.,THANHTRA.TT_QUYET_DINH_DOI_TUONG
Inspection Decision Team Member,Fact Append,Fact Append,,regular,Thành viên đoàn thanh tra chỉ định theo quyết định. FK → Inspection Decision + FK → Inspection Officer.,THANHTRA.TT_QUYET_DINH_THANH_PHAN
Inspection Penalty Announcement,Fact Append,Fact Append,,regular,Công bố quyết định xử phạt từ kết luận thanh tra. FK → Inspection Case Conclusion.,THANHTRA.TT_CONG_BO_XU_PHAT
Investment Fund Investor Capital Change Log,Fact Append,Fact Append,,regular,Lịch sử thay đổi phần vốn góp của nhà đầu tư trong quỹ đầu tư. Ghi nhận vốn trước/sau và lý do thay đổi.,FMS.MBCHANGE
Market Surveillance Account Group Analysis Result,Fact Append,Fact Append,,regular,Ket qua phan tich nhom tai khoan nghi van. FK Market Surveillance Case.,GSGD.ANALYSIS_ACCOUNT_GROUP
Market Surveillance Account Group Member Analysis Result,Fact Append,Fact Append,,regular,Thanh vien nhom tai khoan trong ket qua phan tich. FK Market Surveillance Case + Investor Account Relationship.,GSGD.ANALYSIS_ACCOUNT_GROUP_MEMBER
Market Surveillance Account Relationship Analysis Result,Fact Append,Fact Append,,regular,Ket qua phan tich quan he giua tai khoan nghi van. FK Market Surveillance Case + Investor Account Relationship.,GSGD.ANALYSIS_ACCOUNT_RELATIONSHIP
Market Surveillance Analysis Execution Log,Fact Append,Fact Append,,regular,Log thuc thi phan tich tung bieu mau trong vu viec giam sat. FK Market Surveillance Case.,GSGD.ANALYSIS_EXECUTION_LOG
Market Surveillance Analysis Suspicious Account Snapshot,Fundamental,SCD4A,,regular,Snapshot thong tin tai khoan nghi van tai thoi diem phan tich bieu mau. FK Market Surveillance Case.,GSGD.ANALYSIS_SUSPICIOUS_ACCOUNT_CODE
Market Surveillance Case,Fundamental,SCD4A,,regular,"Vu viec giam sat giao dich chung khoan bat thuong. Ghi nhan loai vu viec, ma CK lien quan, nguon thong tin va trang thai xu ly.",GSGD.CASE_FILE
Market Surveillance Case Approval Step Log,Fact Append,Fact Append,,regular,"Nhat ky phe duyet tung buoc xu ly vu viec giam sat. Ghi nhan nguoi duyet, vai tro, trang thai va thoi diem. FK Market Surveillance Case.",GSGD.CASE_APPROVAL_STEP
Market Surveillance Case Workflow Step,Fact Append,Fact Append,,regular,Tung buoc quy trinh xu ly vu viec giam sat. Append-only. FK Market Surveillance Case.,GSGD.CASE_FILE_WORKFLOW
Market Surveillance Suspicious Account Analysis Result,Fact Append,Fact Append,,regular,Ket qua phan tich/kiem tra tai khoan nghi van trong vu viec giam sat. FK Market Surveillance Case.,GSGD.ANALYSIS_SUSPICIOUS_ACCOUNT
Member Conduct Violation,Fact Append,Fact Append,,regular,Vi pham duoc ghi nhan tu canh bao he thong hoac kiem tra dinh ky doi voi thanh vien thi truong.,FIMS.VIOLT
Member Periodic Report Status Log,Fact Append,Fact Append,,regular,Nhật ký thay đổi trạng thái của báo cáo định kỳ thành viên. Mỗi dòng ghi nhận một lần thay đổi trạng thái kèm nội dung tóm tắt.,FMS.RPTMBHS
Risk Alert Resolution,Fact Append,Fact Append,,regular,Bản ghi xử lý chi tiết cho cảnh báo rủi ro (giải trình hoặc không). Grain: 1 lần xử lý. Append-only. FK → Risk Alert.,QLRR.RISK_ALERT_RESOLUTION
Risk Report Upload Batch,Fact Append,Fact Append,,regular,Đợt upload file báo cáo rủi ro định kỳ. Grain: 1 đợt upload. FK → Risk Report Type.,QLRR.RISK_REPORT_UPLOAD_BATCH
Securities Company Administrative Penalty,Fact Append,Fact Append,,regular,Quyet dinh xu ly hanh chinh doi voi CTCK. Ghi nhan hanh vi vi pham va quyet dinh xu phat.,SCMS.CTCK_XU_LY_HANH_CHINH
Securities Company Report Violation,Fact Append,Fact Append,,regular,Vi pham nop bao cao dinh ky cua CTCK. Ghi nhan loai vi pham va thong tin xu ly.,SCMS.BC_VI_PHAM
Securities Practitioner Conduct Violation,Fact Append,Fact Append,,regular,Vi phạm pháp luật hoặc hành chính của người hành nghề chứng khoán. Ghi nhận loại vi phạm và quyết định xử lý.,NHNCK.VIOLATIONS
Securities Practitioner License Application Processing Activity Log,Fact Append,Fact Append,,regular,Nhật ký hoạt động xử lý hồ sơ CCHN. Ghi nhận từng bước xử lý và trạng thái hồ sơ theo thời gian.,NHNCK.ACTIONLOGS
Securities Practitioner License Application Verification Status,Fact Append,Fact Append,,regular,Bản ghi phê duyệt nội bộ hồ sơ CCHN theo cấp lãnh đạo. Ghi nhận người phê duyệt và kết quả phê duyệt tại từng cấp.,NHNCK.VERIFYAPPLICATIONSTATUSES
Securities Practitioner License Certificate Document Activity Log,Fact Append,Fact Append,,regular,Nhật ký hoạt động tác động lên chứng chỉ hành nghề. Ghi nhận hành động và người thực hiện.,NHNCK.CERTIFICATERECORDLOGS
Securities Practitioner License Certificate Document Status History,Fact Append,Fact Append,,regular,Lịch sử thay đổi trạng thái của chứng chỉ hành nghề. Ghi nhận trạng thái trước/sau và lý do thay đổi.,NHNCK.CERTIFICATERECORDSTATUSHISTORIES
Securities Practitioner Professional Training Class Enrollment,Fact Append,Fact Append,,regular,Đăng ký tham gia và kết quả học tập của người hành nghề tại một khóa đào tạo chuyên môn.,NHNCK.SPECIALIZATIONCOURSEDETAILS
Surveillance Enforcement Case,Fact Append,Fact Append,,regular,Hồ sơ xử lý vi phạm từ kết quả giám sát thị trường. Ghi nhận đối tượng và trạng thái xử lý.,THANHTRA.GS_HO_SO
Surveillance Enforcement Decision,Fact Append,Fact Append,,regular,Văn bản xử lý vi phạm từ giám sát. FK → Surveillance Enforcement Case.,THANHTRA.GS_VAN_BAN_XU_LY
Surveillance Penalty Announcement,Fact Append,Fact Append,,regular,Công bố quyết định xử phạt từ giám sát. FK → Surveillance Enforcement Decision.,THANHTRA.GS_CONG_BO_XU_PHAT
Tax Violation Penalty Decision,Fact Append,Fact Append,,regular,Quyết định xử lý vi phạm hành chính về thuế. Ghi nhận hành vi vi phạm và mức phạt/truy thu.,DCST.TT_XLY_VI_PHAM
Disclosure Announcement,Fact Append,Fact Append,,regular,Tin cong bo thong tin cua thanh vien thi truong qua nguoi dai dien CBTT.,FIMS.ANNOUNCE
Member Periodic Report,Fact Append,Fact Append,,regular,Báo cáo định kỳ do thành viên thị trường nộp lên UBCKNN theo từng kỳ báo cáo. Ghi nhận trạng thái nộp và thời hạn.,"FMS.RPTMEMBER, SCMS.BC_THANH_VIEN"
Risk Alert Notification,Fact Append,Fact Append,,regular,Thông báo cảnh báo gửi từng kênh (Toast/Bell/Email) đến từng người nhận. Grain: 1 thông báo / 1 người. Append-only. FK → Risk Alert.,QLRR.RISK_NOTIFICATION
Securities Practitioner Identity Verification Record,Fact Append,Fact Append,,regular,Kết quả xác thực danh tính người hành nghề qua hệ thống C06 của Bộ Công An. Lưu trạng thái và phản hồi xác thực.,NHNCK.IDENTITYINFOC06S
Securities Practitioner Qualification Examination Assessment,Fact Append,Fact Append,,regular,Đợt thi sát hạch cấp chứng chỉ hành nghề chứng khoán. Ghi nhận thông tin tổ chức đợt thi và quyết định công nhận kết quả.,NHNCK.EXAMSESSIONS
Securities Practitioner Qualification Examination Assessment Result,Fact Append,Fact Append,,regular,Kết quả thi sát hạch của từng thí sinh trong một đợt thi. Ghi nhận điểm thi và kết quả đạt/không đạt.,NHNCK.EXAMDETAILS
Market Surveillance Analysis Criterion,Fundamental,SCD4A,,regular,"Dinh nghia tieu chi/cong thuc phan tich vu viec giam sat (nguong ty le, so phien, v.v.). Grain: 1 dong = 1 tieu chi.",GSGD.ANALYSIS_ATTRIBUTE_DEFINE
Market Surveillance Analysis Criterion Value,Fact Snapshot,Fact Append,,regular,Gia tri cu the cua tieu chi phan tich theo tung quy trinh. FK Market Surveillance Analysis Criterion.,GSGD.ANALYSIS_ATTRIBUTE_VALUE
Market Surveillance Compliance Report Template,Fundamental,SCD4A,,regular,"Dinh nghia loai bao cao tuan thu trong he thong GSGD (ten bao cao, ky bao cao). Grain: 1 dong = 1 loai bao cao.",GSGD.COMPLIANCE_REPORT_TEMPLATE
Member Rating Period,Fundamental,SCD4A,,regular,Kỳ đánh giá xếp loại định kỳ cho các thành viên thị trường (công ty quản lý quỹ). Xác định phạm vi thời gian áp dụng tiêu chí chấm điểm.,FMS.RATINGPD
Rating Criterion,Fundamental,SCD4A,,regular,Tiêu chí chấm điểm đánh giá xếp loại thành viên thị trường. Lưu tên tiêu chí và điểm tối đa/trọng số. Có cấu trúc cha/con.,FMS.RNKFACTOR
Report Submission Obligation,Fundamental,SCD4A,,regular,Nghia vu gui bao cao cua tung CTCK theo dinh ky cu the. Xac dinh don vi nao phai nop bieu mau nao theo lich nao.,SCMS.BM_BAO_CAO_DINH_KY_DON_VI
Report Submission Schedule,Fundamental,SCD4A,,regular,Lich dinh ky gui bao cao theo bieu mau (hang ngay/tuan/thang/quy/nam). Xac dinh tan suat nghia vu nop bao cao.,SCMS.BM_BAO_CAO_DINH_KY
Reporting Period,Fundamental,SCD4A,,regular,Kỳ báo cáo định kỳ (ngày/tuần/tháng/quý/bán niên/năm) mà thành viên thị trường phải nộp báo cáo lên UBCKNN.,"FMS.RPTPERIOD, FIMS.RPTPERIOD"
Risk Alert Config,Fundamental,SCD4A,,regular,Cấu hình ngưỡng và quy tắc kích hoạt cảnh báo cho từng chỉ tiêu rủi ro. Grain: 1 cấu hình / 1 chỉ tiêu. FK → Risk Indicator.,QLRR.RISK_ALERT_CONFIG
Risk Indicator Schedule,Fundamental,SCD4A,,regular,Cấu hình lịch chạy job đồng bộ chỉ tiêu rủi ro (frequency_type/cron_expression). Grain: 1-1 với Risk Indicator. FK → Risk Indicator.,QLRR.RISK_INDICATOR_SCHEDULE
Securities Practitioner Qualification Examination Assessment Fee,Fundamental,SCD4A,,regular,Biểu phí thi sát hạch theo đợt thi và loại chứng chỉ. Ghi nhận mức phí thi và phúc khảo.,NHNCK.EXAMSESSIONFEES
AML Case Document Attachment,Fundamental,SCD4A,,regular,Văn bản đính kèm hồ sơ PCRT. FK → AML Enforcement Case.,THANHTRA.PCRT_HO_SO_VAN_BAN
Abnormal Trading Report,Fundamental,SCD4A,,regular,Bao cao giao dich bat thuong do to chuc thanh vien nop len UBCKNN. Grain: 1 dong = 1 bao cao.,GSGD.ABNORMAL_REPORT
Abnormal Trading Report File Attachment,Fundamental,SCD4A,,regular,File dinh kem bao cao giao dich bat thuong (co chu ky so). FK Abnormal Trading Report.,GSGD.ABNORMAL_REPORT_FILE
Complaint Processing Case Document Attachment,Fundamental,SCD4A,,regular,Văn bản đính kèm hồ sơ giải quyết đơn thư. FK → Complaint Processing Case.,THANHTRA.DT_HO_SO_VAN_BAN
Inspection Annual Plan Document Attachment,Fundamental,SCD4A,,regular,Văn bản đính kèm kế hoạch thanh tra năm. FK → Inspection Annual Plan.,THANHTRA.TT_KE_HOACH_VAN_BAN
Inspection Case Document Attachment,Fundamental,SCD4A,,regular,Văn bản đính kèm hồ sơ thanh tra (biên bản làm việc v.v.). FK → Inspection Case.,THANHTRA.TT_HO_SO_VAN_BAN
Inspection Decision Document Attachment,Fundamental,SCD4A,,regular,Văn bản đính kèm quyết định thanh tra. FK → Inspection Decision.,THANHTRA.TT_QUYET_DINH_VAN_BAN
Market Surveillance Analysis Report,Fundamental,SCD4A,,regular,Bao cao output cua qua trinh phan tich vu viec giam sat (report_type,GSGD.ANALYSIS_REPORT
Market Surveillance Case Document Attachment,Fundamental,SCD4A,,regular,"File dinh kem vu viec giam sat (tai lieu ho so, danh sach TK nghi van). FK Market Surveillance Case.",GSGD.CASE_ATTACH_FILE
Market Surveillance Compliance Report Column Config,Fundamental,SCD4A,,regular,Dinh nghia cau truc cot cua tung loai bao cao tuan thu GSGD. FK Market Surveillance Compliance Report Template.,GSGD.COMPLIANCE_REPORT_CONFIG
Market Surveillance Compliance Report Instance,Fundamental,SCD4A,,regular,Instance bao cao tuan thu theo tung ky. FK Market Surveillance Compliance Report Template.,GSGD.COMPLIANCE_REPORT_MASTER
Market Surveillance Compliance Report Row Data,Fact Snapshot,Fact Append,,regular,Du lieu tung dong trong bao cao tuan thu GSGD (luu dang JSON). Grain: 1 dong = 1 row x 1 ky. FK Market Surveillance Compliance Report Instance.,GSGD.COMPLIANCE_REPORT_DATA
Member Regulatory Report,Fundamental,SCD4A,,regular,"Bao cao dinh ky cua thanh vien thi truong nop len UBCK. Ghi nhan bieu mau, ky, trang thai nop va thanh vien nop.",FIMS.RPTMEMBER
Member Report Indicator Value,Fact Append,Fact Append,,regular,Gia tri tung chi tieu trong mot lan nop bao cao dinh ky. Grain = 1 gia tri cell-level (submission x template_indicator x row). FK den Member Periodic Report.,SCMS.BC_BAO_CAO_GT
Member Report Value,Fact Append,Fact Append,,regular,Gia tri tung chi tieu trong bao cao dinh ky cua thanh vien. Moi dong = 1 chi tieu trong 1 bao cao.,FIMS.RPTVALUES
Report Import Value,Fundamental,SCD4A,,regular,Dữ liệu giá trị từng ô chỉ tiêu trong sheet báo cáo được import vào hệ thống FMS. Grain ở mức cell-level.,FMS.RPTVALUES
Report Template,Fundamental,SCD4A,,regular,Bieu mau bao cao dau vao - khuon mau to khai dinh ky ma thanh vien thi truong phai nop theo quy dinh.,"FIMS.RPTTEMP, SCMS.BM_BAO_CAO"
Risk Alert Resolution File,Fundamental,SCD4A,,regular,File đính kèm giải trình cho bản ghi xử lý cảnh báo. Grain: 1 file. FK → Risk Alert Resolution.,QLRR.RISK_ALERT_RESOLUTION_FILE
Risk Report File,Fundamental,SCD4A,,regular,Metadata file đính kèm báo cáo rủi ro trong đợt upload. Grain: 1 file. FK → Risk Report Upload Batch.,QLRR.RISK_REPORT_FILE
Risk Report Type,Fundamental,SCD4A,,regular,Danh mục loại báo cáo rủi ro (Báo cáo nhanh hàng tháng v.v.). Master entity có lifecycle. FK từ Risk Report Upload Batch.,QLRR.RISK_REPORT_TYPE
Securities Practitioner License Application,Fundamental,SCD4A,,regular,Hồ sơ đăng ký cấp/cấp lại/gia hạn chứng chỉ hành nghề chứng khoán. Ghi nhận đầy đủ thông tin người nộp và kết quả xử lý.,NHNCK.APPLICATIONS
Securities Practitioner License Application Document Attachment,Fundamental,SCD4A,,regular,Tài liệu đính kèm hồ sơ CCHN. Ghi nhận loại tài liệu và trạng thái thẩm định.,NHNCK.APPLICATIONDOCUMENTS
Securities Practitioner License Application Education Certificate Document,Fundamental,SCD4A,,regular,Văn bằng/chứng chỉ học tập đính kèm hồ sơ CCHN. Ghi nhận loại chuyên môn và file đính kèm kèm trạng thái thẩm định.,NHNCK.APPLICATIONSPECIALIZATIONS
Securities Practitioner License Certificate Document,Fundamental,SCD4A,,regular,Chứng chỉ hành nghề chứng khoán được cấp cho người hành nghề. Ghi nhận loại chứng chỉ và quyết định cấp/thu hồi.,NHNCK.CERTIFICATERECORDS
Securities Practitioner License Certificate Group Document,Fundamental,SCD4A,,regular,Nhóm chứng chỉ hành nghề trong một quyết định cấp/thu hồi/hủy tập thể. Liên kết với quyết định hành chính.,NHNCK.CERTIFICATERECORDGROUPS
Securities Practitioner License Certificate Group Member,Fundamental,SCD4A,,regular,Quan hệ thành viên giữa chứng chỉ hành nghề và nhóm cấp/thu hồi. Liên kết Certificate ↔ Group ↔ Application.,NHNCK.CERTIFICATERECORDGROUPMEMBERS
Securities Practitioner License Decision Document,Fundamental,SCD4A,,regular,Quyết định hành chính của UBCKNN về cấp/thu hồi/hủy chứng chỉ hành nghề chứng khoán.,NHNCK.DECISIONS
Securities Practitioner Organization Employment Report,Fundamental,SCD4A,,regular,Báo cáo của tổ chức về tình trạng tuyển dụng/chấm dứt hợp đồng người hành nghề chứng khoán.,NHNCK.ORGANIZATIONREPORTS
Surveillance Case Document Attachment,Fundamental,SCD4A,,regular,Văn bản đính kèm hồ sơ giám sát. FK → Surveillance Enforcement Case.,THANHTRA.GS_HO_SO_VAN_BAN
Surveillance Enforcement Decision File Attachment,Fundamental,SCD4A,,regular,File đính kèm văn bản xử lý giám sát. FK → Surveillance Enforcement Decision.,THANHTRA.GS_VAN_BAN_XU_LY_FILE
Tax Debt Enforcement Order,Fundamental,SCD4A,,regular,Quyết định cưỡng chế nợ thuế. Ghi nhận hình thức cưỡng chế và thông tin tài sản/tài khoản liên quan.,DCST.TCT_TT_CUONG_CHE_NO
Tax Financial Statement,Fundamental,SCD4A,,regular,Tờ khai tài chính điện tử nộp lên cơ quan thuế. Ghi nhận kỳ kê khai và thông tin kiểm toán.,DCST.TCT_BAO_CAO
Tax Financial Statement Item,Fundamental,SCD4A,,regular,Chỉ tiêu chi tiết trong tờ khai tài chính. Ghi nhận giá trị số liệu theo từng ô chỉ tiêu trong biểu mẫu.,DCST.TCT_BAO_CAO_CHI_TIET
Tax Invoice Enforcement Order,Fundamental,SCD4A,,regular,Quyết định cưỡng chế nợ thuế theo hình thức ngừng sử dụng hóa đơn. Ghi nhận thông tin quyết định và thông báo.,DCST.TCT_TTCCN_HOA_DON
Tax Invoice Enforcement Order Item,Fundamental,SCD4A,,regular,Chi tiết hóa đơn thuộc quyết định cưỡng chế ngừng sử dụng hóa đơn. Ghi nhận số hiệu và loại hóa đơn.,DCST.HOA_DON_CHI_TIET
Listed Company Corporate Event,Fact Append,Fact Append,,regular,Su kien lien quan den to chuc niem yet trong pham vi giam sat GSGD. Grain: 1 dong = 1 su kien.,GSGD.COMPANY_EVENT
Risk Alert,Fact Append,Fact Append,,regular,Bản ghi cảnh báo rủi ro phát sinh khi chỉ tiêu vượt ngưỡng cấu hình. Grain: 1 lần kích hoạt. Append-only. FK → Risk Alert Config + Risk Indicator.,QLRR.RISK_ALERT
Risk Alert History,Fact Append,Fact Append,,regular,Dòng thời gian sự kiện trong vòng đời cảnh báo (phát sinh / xử lý). Grain: 1 sự kiện nghiệp vụ. Append-only. FK → Risk Alert.,QLRR.RISK_ALERT_HISTORY
Securities Practitioner Professional Training Class,Fact Append,Fact Append,,regular,Khóa đào tạo chuyên môn nghiệp vụ chứng khoán do UBCKNN tổ chức. Ghi nhận thông tin khóa học và ngày thi.,NHNCK.SPECIALIZATIONCOURSES
Audit Firm,Fundamental,SCD4A,,regular,Cong ty kiem toan duoc UBCKNN chap thuan. Ghi nhan thong tin phap ly va trang thai hoat dong.,SCMS.CT_KIEM_TOAN
Audit Firm Practitioner,Fundamental,SCD4A,,regular,Kiem toan vien thuoc cong ty kiem toan. Ghi nhan chung chi kiem toan va trang thai hanh nghe.,SCMS.CT_KIEM_TOAN_VIEN
Custodian Bank,Fundamental,SCD4A,,regular,Ngân hàng lưu ký giám sát tài sản quỹ đầu tư chứng khoán được UBCKNN chấp thuận. Chịu trách nhiệm lưu giữ và giám sát tài sản của quỹ.,"FMS.BANKMONI, FIMS.BANKMONI"
Depository Center,Fundamental,SCD4A,,regular,Trung tam luu ky chung khoan quoc gia - thanh vien thi truong trong he thong FIMS (VSD).,FIMS.DEPOSITORYCENTER
Disclosure Representative,Fundamental,SCD4A,,regular,Nguoi hoac to chuc dai dien thuc hien cong bo thong tin tren thi truong chung khoan.,FIMS.INFODISCREPRES
Disclosure Representative Key Person,Fundamental,SCD4A,,regular,Nhan su thuc hien cong bo thong tin tai cac to chuc thanh vien thi truong.,FIMS.TLPROFILES
Discretionary Investment Investor,Fundamental,SCD4A,,regular,Nhà đầu tư ủy thác — cá nhân hoặc tổ chức giao tài sản cho công ty quản lý quỹ quản lý theo hợp đồng ủy thác đầu tư.,FMS.INVES
Foreign Fund Management Organization Unit,Fundamental,SCD4A,,regular,Văn phòng đại diện hoặc chi nhánh của công ty quản lý quỹ nước ngoài tại Việt Nam được UBCKNN chấp thuận hoạt động.,FMS.FORBRCH
Foreign Fund Management Organization Unit Staff,Fundamental,SCD4A,,regular,Nhân sự đảm nhận chức vụ tại văn phòng đại diện/chi nhánh công ty quản lý quỹ nước ngoài. Ghi nhận vai trò và tư cách pháp lý.,FMS.STFFGBRCH
Foreign Investor,Fundamental,SCD4A,,regular,"Danh muc nha dau tu dang ky giao dich tren thi truong chung khoan. Bao gom ca nhan va to chuc, phan biet bang ObjectType.",FIMS.INVESTOR
Foreign Representative Office,Fundamental,SCD4A,,regular,"Van phong dai dien cua cong ty chung khoan nuoc ngoai tai Viet Nam. Phap nhan doc lap, khong FK den CTCK trong nuoc.",SCMS.CTCK_VP_DAI_DIEN_NN
Fund Distribution Agent,Fundamental,SCD4A,,regular,Tổ chức đại lý được ủy quyền phân phối chứng chỉ quỹ đầu tư cho nhà đầu tư.,FMS.AGENCIES
Fund Distribution Agent Organization Unit,Fundamental,SCD4A,,regular,Chi nhánh hoặc phòng giao dịch của tổ chức đại lý phân phối quỹ đầu tư.,FMS.AGENCIESBRA
Fund Management Company,Fundamental,SCD4A,,regular,Công ty quản lý quỹ đầu tư chứng khoán trong nước được UBCKNN cấp phép hoạt động. Lưu thông tin pháp lý và hoạt động của công ty.,"FMS.SECURITIES, FIMS.FUNDCOMPANY, THANHTRA.DM_CONG_TY_QLQ"
Fund Management Company Key Person,Fundamental,SCD4A,,regular,Nhân sự chủ chốt của công ty quản lý quỹ (giám đốc/chuyên gia đầu tư/người được ủy quyền). Lưu thông tin cá nhân và chứng chỉ hành nghề.,FMS.TLPROFILES
Fund Management Company Organization Unit,Fundamental,SCD4A,,regular,Chi nhánh hoặc văn phòng đại diện của công ty quản lý quỹ trong nước. Có địa chỉ và giấy phép hoạt động riêng.,"FMS.BRANCHES, FIMS.BRANCHS"
High Risk Taxpayer Assessment Snapshot,Fact Snapshot,Fact Append,,regular,Đánh giá xếp loại doanh nghiệp rủi ro cao về thuế theo năm. Ghi nhận thông tin tổ chức bị đánh giá rủi ro.,DCST.DN_RUI_RO_CAO
Inspection Officer,Fundamental,SCD4A,,regular,Cán bộ thanh tra viên thuộc UBCKNN. Ghi nhận thông tin cá nhân và trạng thái công tác.,THANHTRA.DM_CAN_BO
