atomic_entity,atomic_table,table_type,technical_table_type,filter,mapping_type,description,ods_table
AML Enforcement Case,aml_nfrc_case,Fact Append,Fact Append,,regular,Hồ sơ xử lý vi phạm phòng chống rửa tiền. Ghi nhận đối tượng vi phạm và trạng thái xử lý.,ods_thanhtra_pcrt_ho_so
AML Enforcement Decision,aml_nfrc_dcsn,Fact Append,Fact Append,,regular,Văn bản xử lý vi phạm rửa tiền. FK → AML Enforcement Case.,ods_thanhtra_pcrt_van_ban_xu_ly
AML Periodic Report,aml_prd_rpt,Fact Append,Fact Append,,regular,Báo cáo định kỳ về hoạt động phòng chống rửa tiền. Mỗi dòng = 1 lần lập báo cáo.,ods_thanhtra_pcrt_bao_cao
Anti-Corruption Report,anti-corruption_rpt,Fact Append,Fact Append,,regular,Báo cáo tổng hợp định kỳ về hoạt động phòng chống tham nhũng. Mỗi dòng = 1 lần lập báo cáo.,ods_thanhtra_pctn_bao_cao
Audit Firm Sanction,audt_firm_sanction,Fact Append,Fact Append,,regular,Xử phạt hành chính đối với công ty kiểm toán hoặc kiểm toán viên — quyết định và nội dung xử phạt. FK nullable: Audit Firm Approval hoặc Auditor Approval.,ods_ids_af_sanctions
Audit Firm Warning,audt_firm_wrn,Fact Append,Fact Append,,regular,Nhắc nhở từ BTC hoặc UBCKNN đến công ty kiểm toán hoặc kiểm toán viên — số văn bản và nội dung. FK nullable: Audit Firm Approval hoặc Auditor Approval.,ods_ids_af_warning
Complaint Enforcement Decision,cpln_nfrc_dcsn,Fact Append,Fact Append,,regular,Văn bản xử lý / quyết định xử phạt từ hồ sơ đơn thư. FK → Complaint Processing Case.,ods_thanhtra_dt_van_ban_xu_ly
Complaint Penalty Announcement,cpln_pny_ancm,Fact Append,Fact Append,,regular,Công bố quyết định xử phạt từ hồ sơ đơn thư. FK → Complaint Enforcement Decision.,ods_thanhtra_dt_cong_bo_xu_phat
Complaint Petition,cpln_petition,Fact Append,Fact Append,,regular,Đơn thư khiếu nại/tố cáo/phản ánh/kiến nghị nhận từ công dân hoặc tổ chức. Khởi đầu quy trình giải quyết đơn thư.,ods_thanhtra_dt_don_thu
Complaint Processing Case,cpln_pcs_case,Fact Append,Fact Append,,regular,Hồ sơ giải quyết đơn thư khiếu nại/tố cáo. FK → Complaint Petition.,ods_thanhtra_dt_ho_so
Complaint Processing Conclusion,cpln_pcs_conclusion,Fact Append,Fact Append,,regular,Kết luận giải quyết đơn thư. FK → Complaint Processing Case.,ods_thanhtra_dt_ket_luan
Disclosure Report Submission,dscl_rpt_subm,Fact Append,Fact Append,,regular,Báo cáo công bố thông tin do CTCK nộp lên UBCKNN theo yêu cầu minh bạch thị trường.,ods_scms_cbtt_bao_cao
Disclosure Securities Offering,dscl_scr_ofrg,Fact Append,Fact Append,,regular,Thông tin chào bán chứng khoán được công bố bởi CTCK. Ghi nhận loại chứng khoán và điều kiện chào bán.,ods_scms_cbtt_chao_ban_chung_khoan
Disclosure Shareholder Change,dscl_shrhlr_chg,Fact Append,Fact Append,,regular,Thông tin thay đổi cổ đông được công bố bởi CTCK. Ghi nhận cổ đông và tỷ lệ sở hữu thay đổi.,ods_scms_cbtt_co_dong
Fund Management Conduct Violation,fnd_mgt_conduct_vln,Fact Append,Fact Append,,regular,Vi phạm pháp luật hoặc hành chính của công ty quản lý quỹ hoặc quỹ đầu tư. Ghi nhận loại vi phạm và trạng thái xử lý.,ods_fms_violt
Inspection Annual Plan,insp_anul_pln,Fact Append,Fact Append,,regular,Kế hoạch thanh tra kiểm tra cấp năm được phê duyệt. Khởi đầu quy trình thanh tra trong năm.,ods_thanhtra_tt_ke_hoach
Inspection Annual Plan Subject,insp_anul_pln_sbj,Fact Append,Fact Append,,regular,Đối tượng thanh tra được đưa vào kế hoạch năm. Grain: 1 đối tượng × 1 kế hoạch.,ods_thanhtra_tt_ke_hoach_doi_tuong
Inspection Case,insp_case,Fact Append,Fact Append,,regular,Hồ sơ thanh tra cụ thể — tập hợp tài liệu và kết quả 1 cuộc thanh tra. FK → Inspection Decision. Thông tin đối tượng denormalized (snapshot tại thời điểm thanh tra).,ods_thanhtra_tt_ho_so
Inspection Case Conclusion,insp_case_conclusion,Fact Append,Fact Append,,regular,Kết luận thanh tra kèm thông tin xử lý vi phạm. FK → Inspection Case.,ods_thanhtra_tt_ket_luan
Inspection Case Officer Assignment,insp_case_ofcr_asgnm,Fact Append,Fact Append,,regular,Phân công cán bộ phụ trách hồ sơ thanh tra. FK → Inspection Case + FK → Inspection Officer.,ods_thanhtra_tt_ho_so_can_bo
Inspection Decision,insp_dcsn,Fact Append,Fact Append,,regular,Quyết định thanh tra/kiểm tra cụ thể. FK → Inspection Annual Plan (nullable — thanh tra đột xuất không có kế hoạch).,ods_thanhtra_tt_quyet_dinh
Inspection Decision Subject,insp_dcsn_sbj,Fact Append,Fact Append,,regular,Đối tượng cụ thể được thanh tra theo một quyết định. FK → Inspection Decision.,ods_thanhtra_tt_quyet_dinh_doi_tuong
Inspection Decision Team Member,insp_dcsn_team_mbr,Fact Append,Fact Append,,regular,Thành viên đoàn thanh tra chỉ định theo quyết định. FK → Inspection Decision + FK → Inspection Officer.,ods_thanhtra_tt_quyet_dinh_thanh_phan
Inspection Penalty Announcement,insp_pny_ancm,Fact Append,Fact Append,,regular,Công bố quyết định xử phạt từ kết luận thanh tra. FK → Inspection Case Conclusion.,ods_thanhtra_tt_cong_bo_xu_phat
Investment Fund Investor Capital Change Log,ivsm_fnd_ivsr_cptl_chg_log,Fact Append,Fact Append,,regular,Lịch sử thay đổi phần vốn góp của nhà đầu tư trong quỹ đầu tư. Ghi nhận vốn trước/sau và lý do thay đổi.,ods_fms_mbchange
Market Surveillance Account Group Analysis Result,mkt_surveil_ac_grp_anl_rslt,Fact Append,Fact Append,,regular,Kết quả phân tích nhóm tài khoản nghi vấn. FK Market Surveillance Case.,ods_gsgd_analysis_account_group
Market Surveillance Account Group Member Analysis Result,mkt_surveil_ac_grp_mbr_anl_rslt,Fact Append,Fact Append,,regular,Thành viên nhóm tài khoản trong kết quả phân tích. FK Market Surveillance Case + Investor Account Relationship.,ods_gsgd_analysis_account_group_member
Market Surveillance Account Relationship Analysis Result,mkt_surveil_ac_rltnp_anl_rslt,Fact Append,Fact Append,,regular,Kết quả phân tích quan hệ giữa tài khoản nghi vấn. FK Market Surveillance Case + Investor Account Relationship.,ods_gsgd_analysis_account_relationship
Market Surveillance Analysis Execution Log,mkt_surveil_anl_exec_log,Fact Append,Fact Append,,regular,Log thực thi phân tích từng biểu mẫu trong vụ việc giám sát. FK Market Surveillance Case.,ods_gsgd_analysis_execution_log
Market Surveillance Analysis Suspicious Account Snapshot,mkt_surveil_anl_sspcs_ac_snpst,Fundamental,SCD4A,,regular,Snapshot thông tin tài khoản nghi vấn tại thời điểm phân tích biểu mẫu. FK Market Surveillance Case.,ods_gsgd_analysis_suspicious_account_code
Market Surveillance Case,mkt_surveil_case,Fundamental,SCD4A,,regular,"Vụ việc giám sát giao dịch chứng khoán bất thường. Ghi nhận loại vụ việc, mã CK liên quan, nguồn thông tin và trạng thái xử lý.",ods_gsgd_case_file
Market Surveillance Case Approval Step Log,mkt_surveil_case_aprv_step_log,Fact Append,Fact Append,,regular,"Nhật ký phê duyệt từng bước xử lý vụ việc giám sát. Ghi nhận người duyệt, vai trò, trạng thái và thời điểm. FK Market Surveillance Case.",ods_gsgd_case_approval_step
Market Surveillance Case Workflow Step,mkt_surveil_case_workflow_step,Fact Append,Fact Append,,regular,Từng bước quy trình xử lý vụ việc giám sát. Append-only. FK Market Surveillance Case.,ods_gsgd_case_file_workflow
Market Surveillance Suspicious Account Analysis Result,mkt_surveil_sspcs_ac_anl_rslt,Fact Append,Fact Append,,regular,Kết quả phân tích/kiểm tra tài khoản nghi vấn trong vụ việc giám sát. FK Market Surveillance Case.,ods_gsgd_analysis_suspicious_account
Member Conduct Violation,mbr_conduct_vln,Fact Append,Fact Append,,regular,Vi phạm được ghi nhận từ cảnh báo hệ thống hoặc kiểm tra định kỳ đối với thành viên thị trường.,ods_fims_violt
Member Periodic Report Status Log,mbr_prd_rpt_st_log,Fact Append,Fact Append,,regular,Nhật ký thay đổi trạng thái của báo cáo định kỳ thành viên. Mỗi dòng ghi nhận một lần thay đổi trạng thái kèm nội dung tóm tắt.,ods_fms_rptmbhs
Public Company Capital Increase,pblc_co_cptl_incr,Fact Append,Fact Append,,regular,Tăng vốn điều lệ sau khi thành công ty đại chúng — vốn cuối năm tài chính và số đợt tăng. FK to Public Company.,ods_ids_company_add_capital
Public Company Capital Mobilization,pblc_co_cptl_mobilization,Fact Append,Fact Append,,regular,Tăng vốn trước khi thành công ty đại chúng — tổng vốn cuối năm và hình thức tăng. Grain: 1 năm x 1 công ty. FK to Public Company.,ods_ids_capital_mobilization
Public Company Inspection,pblc_co_insp,Fact Append,Fact Append,,regular,Thanh tra/kiểm tra công ty đại chúng — loại/số quyết định/đơn vị chủ trì/biên bản. FK to Public Company.,ods_ids_company_inspection
Public Company Penalty,pblc_co_pny,Fact Append,Fact Append,,regular,Xử phạt hành chính công ty đại chúng hoặc nhà đầu tư liên quan — hành vi vi phạm và quyết định xử phạt. FK to Public Company.,ods_ids_company_penalize
Public Company Securities Offering,pblc_co_scr_ofrg,Fact Append,Fact Append,,regular,Hoạt động chào bán/phát hành chứng khoán — loại CK/kế hoạch/kết quả thực tế theo từng hình thức. FK to Public Company.,ods_ids_company_securities_issuance
Public Company Tender Offer,pblc_co_tender_ofr,Fact Append,Fact Append,,regular,Chào mua công khai — bên chào mua/số lượng dự kiến/kết quả/tỷ lệ sở hữu trước-sau. FK to Public Company.,ods_ids_company_tender_offer
Risk Alert Resolution,rsk_alert_rsl,Fact Append,Fact Append,,regular,Bản ghi xử lý chi tiết cho cảnh báo rủi ro (giải trình hoặc không). Grain: 1 lần xử lý. Append-only. FK → Risk Alert.,ods_qlrr_risk_alert_resolution
Risk Report Upload Batch,rsk_rpt_upload_btch,Fact Append,Fact Append,,regular,Đợt upload file báo cáo rủi ro định kỳ. Grain: 1 đợt upload. FK → Risk Report Type.,ods_qlrr_risk_report_upload_batch
Securities Company Administrative Penalty,scr_co_admn_pny,Fact Append,Fact Append,,regular,Quyết định xử lý hành chính đối với CTCK. Ghi nhận hành vi vi phạm và quyết định xử phạt.,ods_scms_ctck_xu_ly_hanh_chinh
Securities Company Report Violation,scr_co_rpt_vln,Fact Append,Fact Append,,regular,Vi phạm nộp báo cáo định kỳ của CTCK. Ghi nhận loại vi phạm và thông tin xử lý.,ods_scms_bc_vi_pham
Securities Practitioner Conduct Violation,scr_prac_conduct_vln,Fact Append,Fact Append,,regular,Vi phạm pháp luật hoặc hành chính của người hành nghề chứng khoán. Ghi nhận loại vi phạm và quyết định xử lý.,ods_nhnck_violations
Securities Practitioner License Application Processing Activity Log,scr_prac_license_ap_pcs_avy_log,Fact Append,Fact Append,,regular,Nhật ký hoạt động xử lý hồ sơ CCHN. Ghi nhận từng bước xử lý và trạng thái hồ sơ theo thời gian.,ods_nhnck_actionlogs
Securities Practitioner License Application Verification Status,scr_prac_license_ap_verf_st,Fact Append,Fact Append,,regular,Bản ghi phê duyệt nội bộ hồ sơ CCHN theo cấp lãnh đạo. Ghi nhận người phê duyệt và kết quả phê duyệt tại từng cấp.,ods_nhnck_verifyapplicationstatuses
Securities Practitioner License Certificate Document Activity Log,scr_prac_license_ctf_doc_avy_log,Fact Append,Fact Append,,regular,Nhật ký hoạt động tác động lên chứng chỉ hành nghề. Ghi nhận hành động và người thực hiện.,ods_nhnck_certificaterecordlogs
Securities Practitioner License Certificate Document Status History,scr_prac_license_ctf_doc_st_hist,Fact Append,Fact Append,,regular,Lịch sử thay đổi trạng thái của chứng chỉ hành nghề. Ghi nhận trạng thái trước/sau và lý do thay đổi.,ods_nhnck_certificaterecordstatushistories
Securities Practitioner Professional Training Class Enrollment,scr_prac_prof_trn_clss_enrollment,Fact Append,Fact Append,,regular,Đăng ký tham gia và kết quả học tập của người hành nghề tại một khóa đào tạo chuyên môn.,ods_nhnck_specializationcoursedetails
Surveillance Enforcement Case,surveil_nfrc_case,Fact Append,Fact Append,,regular,Hồ sơ xử lý vi phạm từ kết quả giám sát thị trường. Ghi nhận đối tượng và trạng thái xử lý.,ods_thanhtra_gs_ho_so
Surveillance Enforcement Decision,surveil_nfrc_dcsn,Fact Append,Fact Append,,regular,Văn bản xử lý vi phạm từ giám sát. FK → Surveillance Enforcement Case.,ods_thanhtra_gs_van_ban_xu_ly
Surveillance Penalty Announcement,surveil_pny_ancm,Fact Append,Fact Append,,regular,Công bố quyết định xử phạt từ giám sát. FK → Surveillance Enforcement Decision.,ods_thanhtra_gs_cong_bo_xu_phat
Tax Violation Penalty Decision,tax_vln_pny_dcsn,Fact Append,Fact Append,,regular,Quyết định xử lý vi phạm hành chính về thuế. Ghi nhận hành vi vi phạm và mức phạt/truy thu.,ods_dcst_tt_xly_vi_pham
Disclosure Announcement,dscl_ancm,Fact Append,Fact Append,,regular,Tin công bố thông tin của thành viên thị trường qua người đại diện CBTT.,ods_fims_announce
Disclosure Notification,dscl_notf,Fact Append,Fact Append,,regular,Instance thông báo CBTT gửi đi — nội dung/tiêu đề/ngày gửi/trạng thái. Grain: 1 lần gửi thông báo. FK to Disclosure Form Definition.,ods_ids_notifications
Member Periodic Report,mbr_prd_rpt,Fact Append,Fact Append,,regular,Báo cáo định kỳ do thành viên thị trường nộp lên UBCKNN theo từng kỳ báo cáo. Ghi nhận trạng thái nộp và thời hạn.,"ods_fms_rptmember, ods_scms_bc_thanh_vien"
Risk Alert Notification,rsk_alert_notf,Fact Append,Fact Append,,regular,Thông báo cảnh báo gửi từng kênh (Toast/Bell/Email) đến từng người nhận. Grain: 1 thông báo / 1 người. Append-only. FK → Risk Alert.,ods_qlrr_risk_notification
Securities Order,scr_ordr,Fact Append,Fact Append,,regular,Sự kiện trong vòng đời lệnh giao dịch chứng khoán trên sàn HOSE và HNX — lệnh mới/sửa/hủy từ hệ thống KRX. Mỗi dòng = 1 event. Gộp 2 sàn phân biệt bằng market_id.,"ods_ordertrade_order_hose, ods_ordertrade_order_hnx"
Securities Practitioner Identity Verification Record,scr_prac_id_verf_rcrd,Fact Append,Fact Append,,regular,Kết quả xác thực danh tính người hành nghề qua hệ thống C06 của Bộ Công An. Lưu trạng thái và phản hồi xác thực.,ods_nhnck_identityinfoc06s
Securities Practitioner Qualification Examination Assessment,scr_prac_qualf_exam_ases,Fact Append,Fact Append,,regular,Đợt thi sát hạch cấp chứng chỉ hành nghề chứng khoán. Ghi nhận thông tin tổ chức đợt thi và quyết định công nhận kết quả.,ods_nhnck_examsessions
Securities Practitioner Qualification Examination Assessment Result,scr_prac_qualf_exam_ases_rslt,Fact Append,Fact Append,,regular,Kết quả thi sát hạch của từng thí sinh trong một đợt thi. Ghi nhận điểm thi và kết quả đạt/không đạt.,ods_nhnck_examdetails
Disclosure Form Definition,dscl_form_defn,Fundamental,SCD4A,,regular,Định nghĩa loại hồ sơ/tin CBTT — loại form/quy trình duyệt/nghiệp vụ. Master entity của vòng đời CBTT. Self-join parent_form_id.,ods_ids_forms
Disclosure Notification Config,dscl_notf_config,Fundamental,SCD4A,,regular,Cấu hình thông báo CBTT — kênh gửi/hệ thống nhận/người quản lý. FK to Disclosure Notification.,ods_ids_noti_config
Financial Report Catalog,fnc_rpt_ctlg,Fundamental,SCD4A,,regular,Danh mục báo cáo tài chính — loại báo cáo/năm/scope hợp nhất/loại hình doanh nghiệp. Master entity FK từ Financial Report Row/Column Template.,ods_ids_report_catalog
Financial Report Column Template,fnc_rpt_clmn_tpl,Fundamental,SCD4A,,regular,Định nghĩa cột trong biểu mẫu BCTC — mã cột/tên/công thức/thứ tự. FK to Financial Report Catalog.,ods_ids_rcol
Financial Report Row Template,fnc_rpt_row_tpl,Fundamental,SCD4A,,regular,Định nghĩa hàng trong biểu mẫu BCTC — mã hàng/tên/công thức/thứ tự. FK to Financial Report Catalog.,ods_ids_rrow
Market Surveillance Analysis Criterion,mkt_surveil_anl_criterion,Fundamental,SCD4A,,regular,"Định nghĩa tiêu chí/công thức phân tích vụ việc giám sát (ngưỡng tỷ lệ, số phiên, v.v.). Grain: 1 dòng = 1 tiêu chí.",ods_gsgd_analysis_attribute_define
Market Surveillance Analysis Criterion Value,mkt_surveil_anl_criterion_val,Fact Snapshot,Fact Snapshot,,regular,Giá trị cụ thể của tiêu chí phân tích theo từng quy trình. FK Market Surveillance Analysis Criterion.,ods_gsgd_analysis_attribute_value
Market Surveillance Compliance Report Template,mkt_surveil_cmpln_rpt_tpl,Fundamental,SCD4A,,regular,"Định nghĩa loại báo cáo tuân thủ trong hệ thống GSGD (tên báo cáo, kỳ báo cáo). Grain: 1 dòng = 1 loại báo cáo.",ods_gsgd_compliance_report_template
Member Rating Period,mbr_rtg_prd,Fundamental,SCD4A,,regular,Kỳ đánh giá xếp loại định kỳ cho các thành viên thị trường (công ty quản lý quỹ). Xác định phạm vi thời gian áp dụng tiêu chí chấm điểm.,ods_fms_ratingpd
Periodic Report Form,prd_rpt_form,Fundamental,SCD4A,,regular,Biểu mẫu báo cáo định kỳ (thường niên/quý/tháng) cho CBTT. Master entity FK từ Periodic Report Form Row/Column Template.,ods_ids_rep_forms
Periodic Report Form Column Template,prd_rpt_form_clmn_tpl,Fundamental,SCD4A,,regular,Định nghĩa cột trong biểu mẫu báo cáo định kỳ — tên/thứ tự/công thức. FK to Periodic Report Form.,ods_ids_rep_column
Periodic Report Form Row Template,prd_rpt_form_row_tpl,Fundamental,SCD4A,,regular,Định nghĩa hàng trong biểu mẫu báo cáo định kỳ — tên/thứ tự/kiểu dữ liệu. FK to Periodic Report Form.,ods_ids_rep_row
Public Company Foreign Ownership Limit,pblc_co_frgn_own_lmt,Fundamental,SCD4A,,regular,Giới hạn tỷ lệ sở hữu nước ngoài của công ty đại chúng — max_owner_rate và khoảng thời gian áp dụng. FK to Public Company.,ods_ids_foreign_owner_limit
Rating Criterion,rtg_criterion,Fundamental,SCD4A,,regular,Tiêu chí chấm điểm đánh giá xếp loại thành viên thị trường. Lưu tên tiêu chí và điểm tối đa/trọng số. Có cấu trúc cha/con.,ods_fms_rnkfactor
Report Submission Obligation,rpt_subm_oblg,Fundamental,SCD4A,,regular,Nghĩa vụ gửi báo cáo của từng CTCK theo định kỳ cụ thể. Xác định đơn vị nào phải nộp biểu mẫu nào theo lịch nào.,ods_scms_bm_bao_cao_dinh_ky_don_vi
Report Submission Schedule,rpt_subm_shd,Fundamental,SCD4A,,regular,Lịch định kỳ gửi báo cáo theo biểu mẫu (hàng ngày/tuần/tháng/quý/năm). Xác định tần suất nghĩa vụ nộp báo cáo.,ods_scms_bm_bao_cao_dinh_ky
Reporting Period,rpt_prd,Fundamental,SCD4A,,regular,Kỳ báo cáo định kỳ (ngày/tuần/tháng/quý/bán niên/năm) mà thành viên thị trường phải nộp báo cáo lên UBCKNN.,"ods_fms_rptperiod, ods_fims_rptperiod"
Risk Alert Config,rsk_alert_config,Fundamental,SCD4A,,regular,Cấu hình ngưỡng và quy tắc kích hoạt cảnh báo cho từng chỉ tiêu rủi ro. Grain: 1 cấu hình / 1 chỉ tiêu. FK → Risk Indicator.,ods_qlrr_risk_alert_config
Risk Indicator Schedule,rsk_ind_shd,Fundamental,SCD4A,,regular,Cấu hình lịch chạy job đồng bộ chỉ tiêu rủi ro (frequency_type/cron_expression). Grain: 1-1 với Risk Indicator. FK → Risk Indicator.,ods_qlrr_risk_indicator_schedule
Securities Practitioner Qualification Examination Assessment Fee,scr_prac_qualf_exam_ases_fee,Fundamental,SCD4A,,regular,Biểu phí thi sát hạch theo đợt thi và loại chứng chỉ. Ghi nhận mức phí thi và phúc khảo.,ods_nhnck_examsessionfees
Stock Control,stk_cntl,Fundamental,SCD4A,,regular,Hạn chế chuyển nhượng cổ phiếu của cổ đông — số lượng bị hạn chế/thời gian/loại hạn chế. FK to Stock Holder.,ods_ids_stock_controls
AML Case Document Attachment,aml_case_doc_attch,Fundamental,SCD4A,,regular,Văn bản đính kèm hồ sơ PCRT. FK → AML Enforcement Case.,ods_thanhtra_pcrt_ho_so_van_ban
Abnormal Trading Report,abnormal_tdg_rpt,Fundamental,SCD4A,,regular,Báo cáo giao dịch bất thường do tổ chức thành viên nộp lên UBCKNN. Grain: 1 dòng = 1 báo cáo.,ods_gsgd_abnormal_report
Abnormal Trading Report File Attachment,abnormal_tdg_rpt_file_attch,Fundamental,SCD4A,,regular,File đính kèm báo cáo giao dịch bất thường (có chữ ký số). FK Abnormal Trading Report.,ods_gsgd_abnormal_report_file
Audit Firm Approval,audt_firm_aprv,Fundamental,SCD4A,,regular,Quyết định chấp thuận/đình chỉ công ty kiểm toán từ BTC và UBCKNN — số văn bản/ngày/nội dung. Gộp 2 cơ quan. FK to Audit Firm.,ods_ids_af_approval
Auditor Approval,auditor_aprv,Fundamental,SCD4A,,regular,Quyết định chấp thuận/đình chỉ kiểm toán viên từ BTC và UBCKNN — chứng chỉ hành nghề/năm chấp thuận. FK to Audit Firm.,ods_ids_af_auditor_approval
Complaint Processing Case Document Attachment,cpln_pcs_case_doc_attch,Fundamental,SCD4A,,regular,Văn bản đính kèm hồ sơ giải quyết đơn thư. FK → Complaint Processing Case.,ods_thanhtra_dt_ho_so_van_ban
Inspection Annual Plan Document Attachment,insp_anul_pln_doc_attch,Fundamental,SCD4A,,regular,Văn bản đính kèm kế hoạch thanh tra năm. FK → Inspection Annual Plan.,ods_thanhtra_tt_ke_hoach_van_ban
Inspection Case Document Attachment,insp_case_doc_attch,Fundamental,SCD4A,,regular,Văn bản đính kèm hồ sơ thanh tra (biên bản làm việc v.v.). FK → Inspection Case.,ods_thanhtra_tt_ho_so_van_ban
Inspection Decision Document Attachment,insp_dcsn_doc_attch,Fundamental,SCD4A,,regular,Văn bản đính kèm quyết định thanh tra. FK → Inspection Decision.,ods_thanhtra_tt_quyet_dinh_van_ban
Market Surveillance Analysis Report,mkt_surveil_anl_rpt,Fundamental,SCD4A,,regular,Báo cáo output của quá trình phân tích vụ việc giám sát (report_type,ods_gsgd_analysis_report
Market Surveillance Case Document Attachment,mkt_surveil_case_doc_attch,Fundamental,SCD4A,,regular,"File đính kèm vụ việc giám sát (tài liệu hồ sơ, danh sách TK nghi vấn). FK Market Surveillance Case.",ods_gsgd_case_attach_file
Market Surveillance Compliance Report Column Config,mkt_surveil_cmpln_rpt_clmn_config,Fundamental,SCD4A,,regular,Định nghĩa cấu trúc cột của từng loại báo cáo tuân thủ GSGD. FK Market Surveillance Compliance Report Template.,ods_gsgd_compliance_report_config
Market Surveillance Compliance Report Instance,mkt_surveil_cmpln_rpt_instn,Fundamental,SCD4A,,regular,Instance báo cáo tuân thủ theo từng kỳ. FK Market Surveillance Compliance Report Template.,ods_gsgd_compliance_report_master
Market Surveillance Compliance Report Row Data,mkt_surveil_cmpln_rpt_row_data,Fact Snapshot,Fact Snapshot,,regular,Dữ liệu từng dòng trong báo cáo tuân thủ GSGD (lưu dạng JSON). Grain: 1 dòng = 1 row x 1 kỳ. FK Market Surveillance Compliance Report Instance.,ods_gsgd_compliance_report_data
Member Regulatory Report,mbr_reg_rpt,Fact Append,Fact Append,,regular,"Báo cáo định kỳ của thành viên thị trường nộp lên UBCK. Ghi nhận biểu mẫu, kỳ, trạng thái nộp và thành viên nộp.",ods_fims_rptmember
Member Report Indicator Value,mbr_rpt_ind_val,Fact Append,Fact Append,,regular,Giá trị từng chỉ tiêu trong một lần nộp báo cáo định kỳ. Grain = 1 giá trị cell-level (submission x template_indicator x row). FK đến Member Periodic Report.,ods_scms_bc_bao_cao_gt
Member Report Value,mbr_rpt_val,Fact Append,Fact Append,,regular,Giá trị từng chỉ tiêu trong báo cáo định kỳ của thành viên. Mỗi dòng = 1 chỉ tiêu trong 1 báo cáo.,ods_fims_rptvalues
Public Company Financial Report Value,pblc_co_fnc_rpt_val,Fact Append,Fact Append,,regular,Giá trị từng ô BCTC trong một lần nộp báo cáo đã duyệt. Grain: 1 dòng = 1 ô (lần nộp × biểu mẫu × hàng × cột). FK to Public Company Report Submission và Financial Report Catalog.,ods_ids_data
Public Company Report Submission,pblc_co_rpt_subm,Fact Append,Fact Append,,regular,Lần nộp báo cáo/tin CBTT của công ty đại chúng đã được phê duyệt (news_status_cd = APPROVED). Grain: 1 dòng = 1 lần nộp. FK to Public Company và Disclosure Form Definition.,ods_ids_company_data
Report Import Value,rpt_impr_val,Fundamental,SCD4A,,regular,Dữ liệu giá trị từng ô chỉ tiêu trong sheet báo cáo được import vào hệ thống FMS. Grain ở mức cell-level.,ods_fms_rptvalues
Report Template,rpt_tpl,Fundamental,SCD4A,,regular,Biểu mẫu báo cáo đầu vào - khuôn mẫu tờ khai định kỳ mà thành viên thị trường phải nộp theo quy định.,"ods_fims_rpttemp, ods_scms_bm_bao_cao"
Risk Alert Resolution File,rsk_alert_rsl_file,Fundamental,SCD4A,,regular,File đính kèm giải trình cho bản ghi xử lý cảnh báo. Grain: 1 file. FK → Risk Alert Resolution.,ods_qlrr_risk_alert_resolution_file
