attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Taxpayer Province Code,Mã tỉnh người nộp thuế,Text,true,false,draft,DCST.TCT_BAO_CAO.MA_TINH_NNT,"BCV: ""Postal Address"" (Location). Denormalized."
Taxpayer Province Name,Tên tỉnh người nộp thuế,Text,true,false,draft,DCST.TCT_BAO_CAO.TEN_TINH_NNT,"BCV: ""Postal Address"" (Location). Denormalized name."
Taxpayer Phone Number,Điện thoại người nộp thuế,Text,true,false,draft,DCST.TCT_BAO_CAO.DIEN_THOAI_NNT,"BCV: ""Electronic Address"" (Location). Denormalized snapshot. Prefix Taxpayer nhất quán."
Taxpayer Fax Number,Fax người nộp thuế,Text,true,false,draft,DCST.TCT_BAO_CAO.FAX_NNT,"BCV: ""Electronic Address"" (Location). Denormalized snapshot."
Taxpayer Email,Email người nộp thuế,Text,true,false,draft,DCST.TCT_BAO_CAO.EMAIL_NNT,"BCV: ""Electronic Address"" (Location). Denormalized snapshot."
Business Industry,Ngày nghề kinh doanh,Text,true,false,draft,DCST.TCT_BAO_CAO.NGANH_NGHE_KD,"BCV: ""Organization Industry Classification"" (Involved Party). Rút gọn prefix. Snapshot tại thời điểm lập báo cáo. Lưu ý: mô tả nguồn có thể là typo của ""Ngành nghề kinh doanh""."
Service Code,Mã dịch vụ,Text,true,false,draft,DCST.TCT_BAO_CAO.MA_DVU,BCV: không có term riêng. Đặc thù hệ thống eTax.
Service Name,Tên dịch vụ,Text,true,false,draft,DCST.TCT_BAO_CAO.TEN_DVU,BCV: không có term riêng. Denormalized name tương ứng Service Code.
Service Version,Phiên bản dịch vụ,Text,true,false,draft,DCST.TCT_BAO_CAO.PHIEN_BAN_DVU,BCV: không có term riêng. Version của service eTax.
Service Provider Information,Thông tin nhà cung cấp dịch vụ,Text,true,false,draft,DCST.TCT_BAO_CAO.TT_NHACC_DVU,"BCV: ""Organization Name"" (Involved Party) — gần nhất. Text tổng hợp từ nguồn, không có FK."
Tax Return Code,Mã tờ khai,Text,true,false,draft,DCST.TCT_BAO_CAO.MA_TKHAI,"BCV: gần nhất ""Submission Number"" (Documentation). Đặt ""Tax Return Code"" để phản ánh ngữ cảnh mã biểu mẫu tờ khai thuế (VD: 03/TNDN)."
Tax Return Name,Tên tờ khai,Text,true,false,draft,DCST.TCT_BAO_CAO.TEN_TKHAI,BCV: không có term riêng. Denormalized name tương ứng Tax Return Code.
Tax Return Form Description,Mô tả biểu mẫu,Text,true,false,draft,DCST.TCT_BAO_CAO.MO_TA_BMAU,"BCV: không có term riêng. Mô tả chi tiết biểu mẫu tờ khai."
Tax Return XML Version,Phiên bản tờ khai XML,Text,true,false,draft,DCST.TCT_BAO_CAO.PBAN_TKHAI_XML,BCV: không có term riêng. Version schema XML — kỹ thuật.
Tax Return Type Code,Loại tờ khai,Classification Value,true,false,draft,DCST.TCT_BAO_CAO.LOAI_TKHAI,"Scheme: TAX_RETURN_TYPE. BCV: gần nhất ""Document Type"" (Documentation). Giá trị mới — xem append ref_shared_entity_classifications."
Amendment Count,Số lần,Small Counter,true,false,draft,DCST.TCT_BAO_CAO.SO_LAN,BCV: không có term riêng. Đếm số lần nộp tờ khai (lần đầu + bổ sung).
Reporting Period Type Code,Kiểu kỳ,Classification Value,true,false,draft,DCST.TCT_BAO_CAO.KIEU_KY,Scheme: REPORTING_PERIOD_TYPE. BCV: không có term riêng cho kiểu kỳ báo cáo thuế. Giá trị mới — xem append.
Reporting Period,Kỳ kê khai,Text,true,false,draft,DCST.TCT_BAO_CAO.KY_KKHAI,BCV: không có term riêng. Nhất quán prefix Reporting Period toàn nhóm.
Reporting Period Start Date,Kỳ kê khai từ ngày,Text,true,false,draft,DCST.TCT_BAO_CAO.KY_KKHAI_TU_NGAY,"BCV: không có term riêng. Nguồn VARCHAR — giữ Text, không ép Date."
Reporting Period End Date,Kỳ kê khai đến ngày,Text,true,false,draft,DCST.TCT_BAO_CAO.KY_KKHAI_DEN_NGAY,BCV: không có term riêng. Nguồn VARCHAR — giữ Text.
Reporting Period Start Month,Kỳ kê khai từ tháng,Text,true,false,draft,DCST.TCT_BAO_CAO.KY_KKHAI_TU_THANG,BCV: không có term riêng. Nhất quán prefix Reporting Period.
Reporting Period End Month,Kỳ kê khai đến tháng,Text,true,false,draft,DCST.TCT_BAO_CAO.KY_KKHAI_DEN_THANG,BCV: không có term riêng. Nhất quán prefix Reporting Period.
Tax Authority Code,Mã cơ quan thuế nơi nộp,Text,true,false,draft,DCST.TCT_BAO_CAO.MA_CQTHUE_NOI_NOP,BCV: không có term riêng cho cơ quan thuế nơi nộp. CQ thuế tiếp nhận tờ khai.
Tax Authority Name,Tên cơ quan thuế nơi nộp,Text,true,false,draft,DCST.TCT_BAO_CAO.TEN_CQTHUE_NOI_NOP,BCV: không có term riêng. Denormalized name. Prefix Tax Authority nhất quán.
Filing Date,Ngày lập tờ khai,Text,true,false,draft,DCST.TCT_BAO_CAO.NGAY_LAP_TKHAI,"BCV: gần nhất ""Documentation Preparation Date"" (Documentation). Nguồn VARCHAR — giữ Text, không ép Date."
Extension Reason Code,Mã lý do gia hạn,Text,true,false,draft,DCST.TCT_BAO_CAO.MA_LY_DO_GIA_HAN,BCV: không có term riêng. Mã nghiệp vụ — prefix Extension Reason.
Extension Reason,Lý do gia hạn,Text,true,false,draft,DCST.TCT_BAO_CAO.LY_DO_GIA_HAN,BCV: không có term riêng. Nhất quán prefix Extension Reason.
Signatory Name,Người ký,Text,true,false,draft,DCST.TCT_BAO_CAO.NGUOI_KY,"BCV: ""Documentation Signatory"" (Documentation). Nhất quán với Decisions LLD. Tên người ký không có FK đến Involved Party — giữ denormalized."
Signing Date,Ngày ký,Date,true,false,draft,DCST.TCT_BAO_CAO.NGAY_KY,"BCV: gần nhất ""Documentation Signatory"" + date pattern. Nhất quán với Decisions LLD."
Audit Status Code,Trạng thái kiểm toán,Classification Value,true,false,draft,DCST.TCT_BAO_CAO.TRANG_THAI_KT,Scheme: AUDIT_STATUS. BCV: không có term riêng cho trạng thái kiểm toán BCTC. Giá trị mới — xem append.
Audit Firm Tax Identification Number,Mã số thuế tổ chức kiểm toán,Text,true,false,draft,DCST.TCT_BAO_CAO.MST_TC_KTOAN,"BCV: ""Organization Tax Identification Number"" (Involved Party). Prefix Audit Firm chỉ rõ chủ thể — phân biệt với MST của NNT. Không FK vì không có bảng KTV trong scope DCST Group A."
Audit Firm Name,Tổ chức kiểm toán,Text,true,false,draft,DCST.TCT_BAO_CAO.TC_KIEM_TOAN,"BCV: ""Organization Name"" (Involved Party). Prefix Audit Firm chỉ rõ chủ thể. Denormalized."
Auditor Code,Mã kiểm toán viên,Text,true,false,draft,DCST.TCT_BAO_CAO.MA_KIEM_TOAN_VIEN,BCV: không có term riêng cho mã kiểm toán viên. Prefix Auditor — chủ thể khác với NNT.
Auditor Name,Kiểm toán vien,Text,true,false,draft,DCST.TCT_BAO_CAO.KIEM_TOAN_VIEN,BCV: không có term riêng. Giữ nguyên mô tả nguồn (có typo). Prefix Auditor. Denormalized.
Audited Financial Statement Indicator,Báo cáo tài chính đã kiểm toán,Text,true,false,draft,DCST.TCT_BAO_CAO.BCTC_DA_KIEM_TOAN,BCV: không có term riêng. Nguồn VARCHAR(20) — giữ Text. Cần xác nhận giá trị (Y/N hay 0/1).
Audit Opinion Code,Mã ý kiến kiểm toán,Text,true,false,draft,DCST.TCT_BAO_CAO.MA_YKKT,BCV: không có term riêng. Không đủ thông tin danh mục → giữ dạng Text.
Audit Opinion,Ý kiến kiểm toán,Text,true,false,draft,DCST.TCT_BAO_CAO.YKKT,BCV: không có term riêng. Nội dung ý kiến kiểm toán.
Audit Date,Ngày kiểm toán,Date,true,false,draft,DCST.TCT_BAO_CAO.NGAY_KIEM_TOAN,BCV: không có term riêng.
Created Date,Ngày tạo,Text,true,false,draft,DCST.TCT_BAO_CAO.NGAY_TAO,BCV: không có term riêng. Nguồn NUMBER — không rõ định dạng (số ngày?). Giữ Text để tránh mất dữ liệu.
Submission Date,Ngày nộp tờ khai,Date,true,false,draft,DCST.TCT_BAO_CAO.ADD_INFO_NGAY_NOP_TK,"BCV: ""Submission Date"" (Documentation). Giữ nguyên BCV term. ADD_INFO = metadata truyền nhận → thiết kế như trường nghiệp vụ bình thường."
Receipt Date,Ngày tiếp nhận,Date,true,false,draft,DCST.TCT_BAO_CAO.ADD_INFO_NGAY_TIEP_NHAN,"BCV: gần nhất ""Submission Date"" (Documentation) — phía tiếp nhận."
Report Set Period,Kỳ lập bộ báo cáo,Text,true,false,draft,DCST.TCT_BAO_CAO.ADD_INFO_KY_LAP_BO,BCV: không có term riêng.
Filing Origin,Nguồn gốc tờ khai,Text,true,false,draft,DCST.TCT_BAO_CAO.ADD_INFO_NGUON_GOC_TK,BCV: không có term riêng.
Filing Entry Person,Người nhập tờ khại,Text,true,false,draft,DCST.TCT_BAO_CAO.ADD_INFO_NGUOI_NHAP_TK,BCV: không có term riêng. Giữ nguyên mô tả nguồn (có typo). Prefix Filing nhất quán nhóm ADD_INFO.
Filing Acknowledged Date,Ngày nhận tờ khai,Date,true,false,draft,DCST.TCT_BAO_CAO.ADD_INFO_NGAY_NHAN_TK,"BCV: gần nhất ""Submission Date"" (Documentation). Nhất quán prefix Filing."
Filing Reference Id,ID tờ khai,Text,true,false,draft,DCST.TCT_BAO_CAO.ADD_INFO_ID_TK,"BCV: gần nhất ""Submission Number"" (Documentation). Metadata truyền nhận — thiết kế thành trường nghiệp vụ (không đưa vào ds_source_record_id)."
Sending Location,Nơi gửi,Text,true,false,draft,DCST.TCT_BAO_CAO.ADD_INFO_NOI_GUI,"BCV: ""Location"" (Location) — gần nhất. Không đủ cấu trúc để tách Location entity."
Receiving Location,Nơi nhận,Text,true,false,draft,DCST.TCT_BAO_CAO.ADD_INFO_NOI_NHAN,"BCV: ""Location"" (Location) — gần nhất. Nhất quán với Sending Location."
