source_system,source_table,description,group,reason
NHNCK,POST_CERT_TRAINING_COURSES,Danh mục khóa học bồi dưỡng kiến thức định kỳ sau cấp CCHN,Isolated,Isolated entity — không có bảng đăng ký/enrollment liên quan trong scope; chỉ là danh mục tham chiếu không có giá trị phân tích độc lập tại thời điểm thiết kế.
NHNCK,CERTIFICATE_CONVERSION_REQUESTS,Yêu cầu chuyển đổi CCHN bản giấy sang bản điện tử,Operational,"Operational/migration data — nghiệp vụ 1 lần, không có giá trị phân tích liên tục."
NHNCK,ORGANIZATION_REPORT_LOG_SYNCS,Nhật ký đồng bộ dữ liệu báo cáo từ tổ chức,Operational,Operational sync log.
NHNCK,ORGANIZATION_REPORT_YEARLYS,Báo cáo hàng năm của tổ chức về người hành nghề,Operational,Cần khảo sát thêm cấu trúc cột để xác định có phải entity độc lập không.
NHNCK,APPLICATION_LOGS,Nhật ký thay đổi trạng thái/nội dung hồ sơ,Source Process Log,Quy trình internal tác nghiệp ứng dụng nguồn — không phải sự kiện nghiệp vụ độc lập.
NHNCK,CERTIFICATE_RECORD_LOGS,Nhật ký hoạt động trên chứng chỉ hành nghề,Source Process Log,Audit log nguồn — không phải sự kiện nghiệp vụ tường minh.
NHNCK,CERTIFICATE_RECORD_STATUS_HISTORIES,Lịch sử thay đổi trạng thái chứng chỉ hành nghề,Source Process Log,Audit log nguồn — trạng thái lifecycle nằm trên CERTIFICATE_RECORDS; log nguồn không cần thiết trên Atomic.
NHNCK,VERIFY_APPLICATION_STATUSES,Bước xác minh hồ sơ tại từng cấp phê duyệt,Source Process Log,Bước xác minh trung gian trong quy trình nguồn — không có giá trị phân tích độc lập.
NHNCK,APPLICATION_DOCUMENTS,Tài liệu vật lý (file attachment) đính kèm hồ sơ đăng ký,Sub-process,"Bảng lưu file attachment (tên file, đường dẫn, loại tài liệu) — không có attribute nghiệp vụ độc lập ngoài con trỏ file; thông tin loại tài liệu đã có trên APPLICATION_SPECIALIZATIONS."
NHNCK,APPLICATION_DOCUMENT_HISTORIES,Lịch sử thẩm định từng tài liệu trong hồ sơ,Sub-process,Quy trình internal tác nghiệp từ nguồn — không phản ánh sự kiện nghiệp vụ có giá trị phân tích.
NHNCK,APPLICATION_SUPPLEMENTS,Thông tin bổ sung hồ sơ CCHN,Sub-process,Sub-process bổ sung hồ sơ theo yêu cầu — cấu trúc internal tác nghiệp tại nguồn.
NHNCK,DECISION_DOCUMENTS,Tài liệu đính kèm của quyết định,Sub-process,Sub-process lưu file đính kèm — không có giá trị phân tích nghiệp vụ độc lập.
NHNCK,DEPARTMENT_ACCESS,Quản lý quyền khai thác giữa các phòng ban,System / Auth,Operational/system data.
NHNCK,PERMISSIONS,Danh mục quyền hạn trong hệ thống,System / Auth,Operational/system data.
NHNCK,PERMISSION_ROLES,Phân quyền theo nhóm vai trò,System / Auth,Operational/system data.
NHNCK,ROLES,Danh mục vai trò trong hệ thống,System / Auth,Operational/system data.
NHNCK,USER_ROLES,Phân quyền người dùng theo vai trò,System / Auth,Operational/system data — không có giá trị nghiệp vụ.
NHNCK,AUTO_INCREMENT_CODES,Quản lý số tự tăng cho mã CCHN và mã tài liệu,System / Config,Sequence/counter table — operational data.
NHNCK,BACKUP_SCHEDULES,Lịch tự động sao lưu cơ sở dữ liệu,System / Config,Operational/system data.
NHNCK,NOTIFICATION_CONFIGURATIONS,Cấu hình thông báo theo sự kiện nghiệp vụ,System / Config,Application config data.
NHNCK,SYSTEM_PARAMETERS,Tham số cấu hình hệ thống,System / Config,Config data.
NHNCK,ACTION_LOGS,Nhật ký hành động của người dùng trên hệ thống,System / Log,System audit log — không phải nghiệp vụ CCHN.
NHNCK,BACKUPS,Thông tin file sao lưu cơ sở dữ liệu,System / Log,Operational/system data.
NHNCK,DOCUMENT_SIGN_LOGS,Nhật ký ký số tài liệu,System / Log,Operational log.
NHNCK,EMAIL_LOGS,Nhật ký gửi email trong hệ thống,System / Log,Operational log — không phải nghiệp vụ CCHN.
NHNCK,NOTIFICATIONS,Thông báo trong hệ thống,System / Log,Operational/notification data.
NHNCK,SEND_AND_RECIEVE_LOGS,Nhật ký gửi nhận dữ liệu tích hợp,System / Log,Operational log.
NHNCK,SIGNATURE_LOGS,Nhật ký ký số hồ sơ/CCHN,System / Log,Operational log.
NHNCK,SMS_LOGS,Nhật ký gửi SMS trong hệ thống,System / Log,Operational log.
