kpi_id,dashboard,kpi_name,kpi_description,requirement_group,kpi_category,source_module,mart_table,mart_column,column_role,logic
K_TT_3_SSCK,Dashboard Hoạt động Thanh tra >> Thống kê chung,Số đoàn thanh tra đang thực hiện SSCK,So sánh cùng kỳ năm trước,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,(K_TT_3 − K_TT_3 [Year − 1]) / K_TT_3 [Year − 1] × 100%
K_TT_4,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số lượng vụ việc thanh tra,Đếm số vụ việc thanh tra theo tháng nhận hồ sơ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Case Dimension Id,MEASURE,COUNT
K_TT_4,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số lượng vụ việc thanh tra,Đếm số vụ việc thanh tra theo tháng nhận hồ sơ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Received Date Dimension Id,FILTER,YEAR = selected year
K_TT_4,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số lượng vụ việc thanh tra,Đếm số vụ việc thanh tra theo tháng nhận hồ sơ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Received Date Dimension Id,JOIN_KEY,GROUP BY MONTH
K_TT_4,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số lượng vụ việc thanh tra,Đếm số vụ việc thanh tra theo tháng nhận hồ sơ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_5,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số vụ việc thanh tra đang thực hiện,Đếm số vụ việc thanh tra đang thực hiện theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Case Dimension Id,MEASURE,COUNT
K_TT_5,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số vụ việc thanh tra đang thực hiện,Đếm số vụ việc thanh tra đang thực hiện theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Received Date Dimension Id,FILTER,YEAR = selected year
K_TT_5,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số vụ việc thanh tra đang thực hiện,Đếm số vụ việc thanh tra đang thực hiện theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Received Date Dimension Id,JOIN_KEY,GROUP BY MONTH
K_TT_5,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số vụ việc thanh tra đang thực hiện,Đếm số vụ việc thanh tra đang thực hiện theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Case Status Dimension Id,FILTER,IN Classification Code ('MOI_TIEP_NHAN' 'DANG_GIAI_QUYET') via scheme TT_CASE_STATUS
K_TT_5,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số vụ việc thanh tra đang thực hiện,Đếm số vụ việc thanh tra đang thực hiện theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_6,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số lượng vụ thanh tra đã hoàn thành,Đếm số vụ việc thanh tra đã hoàn thành theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Case Dimension Id,MEASURE,COUNT
K_TT_6,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số lượng vụ thanh tra đã hoàn thành,Đếm số vụ việc thanh tra đã hoàn thành theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Status As Of Date Dimension Id,FILTER,YEAR = selected year
K_TT_6,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số lượng vụ thanh tra đã hoàn thành,Đếm số vụ việc thanh tra đã hoàn thành theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Status As Of Date Dimension Id,JOIN_KEY,GROUP BY MONTH
K_TT_6,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số lượng vụ thanh tra đã hoàn thành,Đếm số vụ việc thanh tra đã hoàn thành theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Case Status Dimension Id,FILTER,= Classification Code 'HOAN_THANH' via scheme TT_CASE_STATUS
K_TT_6,Dashboard Hoạt động Thanh tra >> Biểu đồ thống kê,Số lượng vụ thanh tra đã hoàn thành,Đếm số vụ việc thanh tra đã hoàn thành theo tháng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_7,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi Thao túng thị trường,Đếm lượt vi phạm hành vi Thao túng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Case Conclusion Number,MEASURE,COUNT
K_TT_7,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi Thao túng thị trường,Đếm lượt vi phạm hành vi Thao túng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Conclusion Issue Date Dimension Id,FILTER,YEAR = selected year
K_TT_7,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi Thao túng thị trường,Đếm lượt vi phạm hành vi Thao túng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Violation Type Dimension Id,FILTER,= Classification Code '<code Thao túng>' via scheme TT_VIOLATION_TYPE
K_TT_7,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi Thao túng thị trường,Đếm lượt vi phạm hành vi Thao túng,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_7_RATIO,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Tỷ lệ % vi phạm hành vi Thao túng thị trường,Tỷ lệ % hành vi Thao túng trong tổng vi phạm,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,K_TT_7 / (K_TT_7 + K_TT_8 + K_TT_9) × 100%
K_TT_8,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi Cho mượn tài khoản,Đếm lượt vi phạm hành vi Cho mượn tài khoản,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Case Conclusion Number,MEASURE,COUNT
K_TT_8,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi Cho mượn tài khoản,Đếm lượt vi phạm hành vi Cho mượn tài khoản,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Conclusion Issue Date Dimension Id,FILTER,YEAR = selected year
K_TT_8,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi Cho mượn tài khoản,Đếm lượt vi phạm hành vi Cho mượn tài khoản,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Violation Type Dimension Id,FILTER,= Classification Code '<code Cho mượn>' via scheme TT_VIOLATION_TYPE
K_TT_8,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi Cho mượn tài khoản,Đếm lượt vi phạm hành vi Cho mượn tài khoản,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_8_RATIO,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Tỷ lệ % vi phạm hành vi Cho mượn tài khoản,Tỷ lệ % hành vi Cho mượn trong tổng vi phạm,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,K_TT_8 / (K_TT_7 + K_TT_8 + K_TT_9) × 100%
K_TT_9,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi CBTT,Đếm lượt vi phạm hành vi CBTT,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Case Conclusion Number,MEASURE,COUNT
K_TT_9,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi CBTT,Đếm lượt vi phạm hành vi CBTT,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Conclusion Issue Date Dimension Id,FILTER,YEAR = selected year
K_TT_9,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi CBTT,Đếm lượt vi phạm hành vi CBTT,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Violation Type Dimension Id,FILTER,= Classification Code '<code CBTT>' via scheme TT_VIOLATION_TYPE
K_TT_9,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Số lượng vi phạm hành vi CBTT,Đếm lượt vi phạm hành vi CBTT,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_9_RATIO,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo hành vi,Tỷ lệ % vi phạm hành vi CBTT,Tỷ lệ % hành vi CBTT trong tổng vi phạm,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,K_TT_9 / (K_TT_7 + K_TT_8 + K_TT_9) × 100%
K_TT_10,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng Cá nhân,Đếm lượt vi phạm đối tượng Cá nhân,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Case Conclusion Number,MEASURE,COUNT
K_TT_10,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng Cá nhân,Đếm lượt vi phạm đối tượng Cá nhân,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Conclusion Issue Date Dimension Id,FILTER,YEAR = selected year
K_TT_10,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng Cá nhân,Đếm lượt vi phạm đối tượng Cá nhân,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Inspection Subject Dimension,Subject Source Type Code,FILTER,= 'DOI_TUONG_KHAC' via scheme TT_SUBJECT_SOURCE_TYPE
K_TT_10,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng Cá nhân,Đếm lượt vi phạm đối tượng Cá nhân,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Inspection Subject Dimension,Other Party Subtype Code,FILTER,= 'CA_NHAN' via scheme TT_OTHER_PARTY_SUBTYPE
K_TT_10,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng Cá nhân,Đếm lượt vi phạm đối tượng Cá nhân,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_10_RATIO,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Tỷ lệ % vi phạm đối tượng Cá nhân,Tỷ lệ % đối tượng Cá nhân trong tổng vi phạm Thanh tra,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,K_TT_10 / (K_TT_10 + K_TT_11 + K_TT_12 + K_TT_13) × 100%
K_TT_11,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTĐC,Đếm lượt vi phạm đối tượng CTĐC,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Case Conclusion Number,MEASURE,COUNT
K_TT_11,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTĐC,Đếm lượt vi phạm đối tượng CTĐC,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Conclusion Issue Date Dimension Id,FILTER,YEAR = selected year
K_TT_11,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTĐC,Đếm lượt vi phạm đối tượng CTĐC,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Inspection Subject Dimension,Subject Source Type Code,FILTER,= 'CTDC' via scheme TT_SUBJECT_SOURCE_TYPE
K_TT_11,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTĐC,Đếm lượt vi phạm đối tượng CTĐC,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_11_RATIO,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Tỷ lệ % vi phạm đối tượng CTĐC,Tỷ lệ % đối tượng CTĐC,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,K_TT_11 / (K_TT_10 + K_TT_11 + K_TT_12 + K_TT_13) × 100%
K_TT_12,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTCK,Đếm lượt vi phạm đối tượng CTCK,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Case Conclusion Number,MEASURE,COUNT
K_TT_12,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTCK,Đếm lượt vi phạm đối tượng CTCK,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Conclusion Issue Date Dimension Id,FILTER,YEAR = selected year
K_TT_12,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTCK,Đếm lượt vi phạm đối tượng CTCK,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Inspection Subject Dimension,Subject Source Type Code,FILTER,= 'CTCK' via scheme TT_SUBJECT_SOURCE_TYPE
K_TT_12,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTCK,Đếm lượt vi phạm đối tượng CTCK,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_12_RATIO,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Tỷ lệ % vi phạm đối tượng CTCK,Tỷ lệ % đối tượng CTCK,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,K_TT_12 / (K_TT_10 + K_TT_11 + K_TT_12 + K_TT_13) × 100%
K_TT_13,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTQLQ,Đếm lượt vi phạm đối tượng CTQLQ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Case Conclusion Number,MEASURE,COUNT
K_TT_13,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTQLQ,Đếm lượt vi phạm đối tượng CTQLQ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Conclusion Issue Date Dimension Id,FILTER,YEAR = selected year
K_TT_13,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTQLQ,Đếm lượt vi phạm đối tượng CTQLQ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Inspection Subject Dimension,Subject Source Type Code,FILTER,= 'CTQLQ' via scheme TT_SUBJECT_SOURCE_TYPE
K_TT_13,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Số lượng vi phạm đối tượng CTQLQ,Đếm lượt vi phạm đối tượng CTQLQ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case Violation,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_13_RATIO,Dashboard Hoạt động Thanh tra >> Biểu đồ cơ cấu theo đối tượng,Tỷ lệ % vi phạm đối tượng CTQLQ,Tỷ lệ % đối tượng CTQLQ,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,K_TT_13 / (K_TT_10 + K_TT_11 + K_TT_12 + K_TT_13) × 100%
K_TT_14,Dashboard Hoạt động Thanh tra >> Danh sách,Mã vụ việc,Mã hồ sơ thanh tra,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Inspection Case Dimension,Case Number,SLICER,Display text
K_TT_14,Dashboard Hoạt động Thanh tra >> Danh sách,Mã vụ việc,Mã hồ sơ thanh tra,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_15,Dashboard Hoạt động Thanh tra >> Danh sách,Đối tượng,Tên đối tượng bị thanh tra,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Inspection Subject Dimension,Subject Name,SLICER,Display text
K_TT_15,Dashboard Hoạt động Thanh tra >> Danh sách,Đối tượng,Tên đối tượng bị thanh tra,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_16,Dashboard Hoạt động Thanh tra >> Danh sách,Phân loại đối tượng,Hiển thị 2 tầng phân loại,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Inspection Subject Dimension,Subject Source Type Code,SLICER,Display - nếu = DOI_TUONG_KHAC thì resolve tiếp qua Other Party Subtype Code
K_TT_16,Dashboard Hoạt động Thanh tra >> Danh sách,Phân loại đối tượng,Hiển thị 2 tầng phân loại,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Inspection Subject Dimension,Other Party Subtype Code,SLICER,Display - chỉ hiển thị khi Subject Source Type Code = DOI_TUONG_KHAC
K_TT_16,Dashboard Hoạt động Thanh tra >> Danh sách,Phân loại đối tượng,Hiển thị 2 tầng phân loại,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_17,Dashboard Hoạt động Thanh tra >> Danh sách,Loại hình (Định kỳ / Đột xuất),Loại lịch thanh tra,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Schedule Type Dimension Id,SLICER,Classification Name via scheme TT_INSPECTION_SCHEDULE_TYPE
K_TT_17,Dashboard Hoạt động Thanh tra >> Danh sách,Loại hình (Định kỳ / Đột xuất),Loại lịch thanh tra,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_18,Dashboard Hoạt động Thanh tra >> Danh sách,Trạng thái,Trạng thái hồ sơ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Case Status Dimension Id,SLICER,Classification Name via scheme TT_CASE_STATUS
K_TT_18,Dashboard Hoạt động Thanh tra >> Danh sách,Trạng thái,Trạng thái hồ sơ,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'THANH_TRA' via scheme TT_PLAN_TYPE
K_TT_19,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Tổng số vụ việc kiểm tra,Tổng số cuộc kiểm tra,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Case Dimension Id,MEASURE,COUNT
K_TT_19,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Tổng số vụ việc kiểm tra,Tổng số cuộc kiểm tra,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Status As Of Date Dimension Id,FILTER,YEAR <= selected year
K_TT_19,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Tổng số vụ việc kiểm tra,Tổng số cuộc kiểm tra,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'KIEM_TRA' via scheme TT_PLAN_TYPE
K_TT_19_SSCK,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Tổng số vụ việc kiểm tra SSCK,So sánh cùng kỳ năm trước,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,(K_TT_19 − K_TT_19 [Year − 1]) / K_TT_19 [Year − 1] × 100%
K_TT_20,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Số vụ việc kiểm tra đã hoàn thành,Số cuộc kiểm tra đã hoàn thành,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Case Dimension Id,MEASURE,COUNT
K_TT_20,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Số vụ việc kiểm tra đã hoàn thành,Số cuộc kiểm tra đã hoàn thành,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Status As Of Date Dimension Id,FILTER,YEAR = selected year
K_TT_20,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Số vụ việc kiểm tra đã hoàn thành,Số cuộc kiểm tra đã hoàn thành,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Case Status Dimension Id,FILTER,= Classification Code 'HOAN_THANH' via scheme TT_CASE_STATUS
K_TT_20,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Số vụ việc kiểm tra đã hoàn thành,Số cuộc kiểm tra đã hoàn thành,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Type Dimension Id,FILTER,= Classification Code 'KIEM_TRA' via scheme TT_PLAN_TYPE
K_TT_20_SSCK,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Số vụ kiểm tra đã hoàn thành SSCK,So sánh cùng kỳ năm trước,Dashboard,Chỉ tiêu phái sinh,Thanh tra,,,DERIVED,(K_TT_20 − K_TT_20 [Year − 1]) / K_TT_20 [Year − 1] × 100%
K_TT_21,Dashboard Hoạt động Kiểm tra >> Thống kê chung,Số vụ kiểm tra đang thực hiện,Số cuộc kiểm tra đang thực hiện,Dashboard,Chỉ tiêu cơ sở,Thanh tra,Fact Inspection Case,Inspection Case Dimension Id,MEASURE,COUNT
